"Date","Price","Open","High","Low","Vol.","Change %"
"03/15/2023","6,466.10","6,441.67","6,513.26","6,434.93","127.09K","1.14%"
"03/14/2023","6,393.33","6,525.75","6,525.75","6,393.33","136.95K","-2.31%"
"03/13/2023","6,544.45","6,529.57","6,599.96","6,498.40","96.40K","-0.69%"
"03/10/2023","6,589.88","6,596.16","6,596.16","6,518.43","171.13K","-0.29%"
"03/09/2023","6,609.27","6,711.11","6,711.11","6,609.27","119.53K","-1.52%"
"03/08/2023","6,711.49","6,681.21","6,711.49","6,617.86","141.48K","0.10%"
"03/07/2023","6,705.12","6,707.55","6,739.50","6,705.12","127.14K","0.51%"
"03/06/2023","6,671.12","6,673.18","6,737.03","6,671.12","94.82K","0.24%"
"03/03/2023","6,655.37","6,640.33","6,694.36","6,640.33","204.26K","0.50%"
"03/02/2023","6,622.45","6,628.35","6,690.63","6,598.15","149.73K","0.23%"
"03/01/2023","6,607.13","6,602.96","6,630.20","6,579.48","158.98K","0.78%"
"02/28/2023","6,556.20","6,609.41","6,670.49","6,556.20","767.44K","-0.65%"
"02/27/2023","6,599.34","6,684.45","6,684.45","6,537.52","165.44K","-1.29%"
"02/24/2023","6,685.90","6,704.91","6,704.91","6,666.41","129.18K","0.00%"
"02/23/2023","6,685.90","6,704.91","6,704.91","6,666.41","129.18K","-0.20%"
"02/22/2023","6,699.23","6,778.20","6,778.20","6,696.72","115.33K","-1.50%"
"02/21/2023","6,800.96","6,757.95","6,800.96","6,719.10","82.30K","0.84%"
"02/20/2023","6,744.12","6,793.86","6,794.98","6,735.53","74.12K","-0.51%"
"02/17/2023","6,779.02","6,805.21","6,808.97","6,745.54","89.81K","-0.54%"
"02/16/2023","6,815.91","6,814.26","6,848.48","6,808.53","146.43K","-0.09%"
"02/15/2023","6,822.09","6,790.53","6,829.03","6,747.10","97.10K","0.45%"
"02/14/2023","6,791.24","6,847.99","6,863.74","6,791.24","238.85K","-0.69%"
"02/13/2023","6,838.76","6,865.54","6,902.87","6,834.27","178.40K","-0.55%"
"02/10/2023","6,876.79","6,852.17","6,884.20","6,848.71","109.46K","0.50%"
"02/09/2023","6,842.79","6,922.13","6,922.13","6,840.12","115.11K","-1.16%"
"02/08/2023","6,923.08","6,885.27","6,963.46","6,884.49","110.30K","0.61%"
"02/07/2023","6,881.26","6,919.01","6,931.79","6,881.26","107.88K","-0.80%"
"02/06/2023","6,936.61","6,997.46","6,997.46","6,892.00","252.32K","-1.29%"
"02/03/2023","7,027.38","7,012.87","7,027.38","6,901.22","875.08K","0.59%"
"02/02/2023","6,986.19","7,027.92","7,028.37","6,959.78","257.70K","-0.70%"
"02/01/2023","7,035.76","6,814.52","7,035.76","6,813.77","249.66K","3.57%"
"01/31/2023","6,793.25","6,935.67","6,935.67","6,740.19","240.87K","-2.55%"
"01/30/2023","6,970.97","7,048.76","7,053.72","6,929.18","302.53K","-1.15%"
"01/27/2023","7,052.16","7,062.63","7,080.40","7,043.60","112.26K","0.13%"
"01/26/2023","7,042.70","7,088.14","7,101.84","7,042.70","128.44K","-0.55%"
"01/25/2023","7,081.36","7,072.49","7,085.54","7,047.73","138.91K","0.57%"
"01/24/2023","7,041.50","7,065.60","7,137.62","7,039.05","252.73K","-0.40%"
"01/23/2023","7,069.68","7,051.46","7,069.68","7,003.42","97.92K","0.19%"
"01/20/2023","7,056.62","7,056.43","7,063.50","7,035.65","117.08K","-0.08%"
