"Date","Price","Open","High","Low","Vol.","Change %"
"03/15/2023","49.350","50.000","50.750","48.550","2.00M","-1.30%"
"03/14/2023","50.000","54.000","54.000","50.000","1.96M","-4.76%"
"03/13/2023","52.500","50.300","52.500","50.250","1.42M","4.37%"
"03/10/2023","50.300","51.450","51.450","50.250","63.24M","-2.24%"
"03/09/2023","51.450","53.200","53.200","51.400","1.00M","-2.19%"
"03/08/2023","52.600","53.750","53.900","52.100","1.98M","-2.41%"
"03/07/2023","53.900","54.500","54.600","53.650","1.70M","0.19%"
"03/06/2023","53.800","54.000","54.600","53.800","887.81K","-0.28%"
"03/03/2023","53.950","54.500","54.500","53.850","1.06M","-0.09%"
"03/02/2023","54.000","54.200","54.850","53.850","834.21K","0.28%"
"03/01/2023","53.850","55.000","55.000","53.600","1.12M","-0.28%"
"02/28/2023","54.000","54.500","54.800","54.000","4.66M","0.00%"
"02/27/2023","54.000","55.000","55.000","53.550","1.01M","-1.82%"
"02/24/2023","55.000","54.500","55.000","53.600","637.49K","0.00%"
"02/23/2023","55.000","54.500","55.000","53.600","637.49K","1.85%"
"02/22/2023","54.000","54.950","55.000","53.500","1.23M","-1.82%"
"02/21/2023","55.000","54.650","55.000","54.000","1.15M","0.92%"
"02/20/2023","54.500","55.400","55.400","54.000","1.00M","-1.80%"
"02/17/2023","55.500","55.200","55.500","54.250","1.23M","0.54%"
"02/16/2023","55.200","54.650","55.700","54.650","1.17M","1.01%"
"02/15/2023","54.650","55.150","55.800","54.200","873.66K","0.18%"
"02/14/2023","54.550","56.250","56.850","54.550","2.81M","-2.94%"
"02/13/2023","56.200","57.950","57.950","56.200","1.09M","-2.94%"
"02/10/2023","57.900","57.300","57.900","56.550","540.23K","1.67%"
"02/09/2023","56.950","57.200","57.200","56.650","456.70K","0.80%"
"02/08/2023","56.500","58.200","58.450","56.500","614.72K","-2.92%"
"02/07/2023","58.200","57.900","58.200","57.100","664.65K","1.93%"
"02/06/2023","57.100","58.500","58.500","56.800","1.00M","-1.64%"
"02/03/2023","58.050","59.250","59.300","56.350","2.57M","-2.03%"
"02/02/2023","59.250","59.000","59.250","58.000","1.61M","0.17%"
"02/01/2023","59.150","56.900","59.150","56.600","1.68M","4.05%"
"01/31/2023","56.850","58.300","58.950","56.500","1.96M","-4.05%"
"01/30/2023","59.250","59.000","59.250","58.000","809.99K","0.42%"
"01/27/2023","59.000","58.750","59.000","57.850","824.29K","2.61%"
"01/26/2023","57.500","59.000","59.100","57.500","644.60K","-1.71%"
"01/25/2023","58.500","58.650","58.700","58.150","606.17K","1.12%"
"01/24/2023","57.850","58.700","59.600","57.300","906.13K","-1.45%"
"01/23/2023","58.700","58.450","58.750","56.950","663.38K","0.51%"
"01/20/2023","58.400","58.000","58.800","58.000","857.35K","0.86%"
"01/19/2023","57.900","57.500","58.300","57.400","2.89M","0.09%"
"01/18/2023","57.850","58.000","59.000","57.850","1.66M","-0.26%"
"01/17/2023","58.000","59.500","60.000","58.000","849.79K","-1.78%"
