"Date","Price","Open","High","Low","Vol.","Change %"
"03/15/2023","34.45","34.95","35.75","34.45","496.50K","-1.43%"
"03/14/2023","34.95","34.50","35.50","34.45","497.00K","1.60%"
"03/13/2023","34.40","35.00","35.00","34.30","758.10K","-1.15%"
"03/10/2023","34.80","35.00","35.10","34.70","442.70K","-0.43%"
"03/09/2023","34.95","36.50","36.50","34.95","615.70K","-0.14%"
"03/08/2023","35.00","36.00","36.00","34.90","869.80K","-2.78%"
"03/07/2023","36.00","35.85","36.00","35.80","641.40K","0.42%"
"03/06/2023","35.85","35.85","36.05","35.85","404.00K","-0.14%"
"03/03/2023","35.90","35.90","35.95","35.85","224.30K","-0.14%"
"03/02/2023","35.95","36.00","36.00","35.85","179.60K","0.00%"
"03/01/2023","35.95","35.75","36.00","35.75","397.70K","-0.14%"
"02/28/2023","36.00","35.75","36.25","35.50","769.00K","0.70%"
"02/27/2023","35.75","35.70","35.85","35.65","251.60K","-0.14%"
"02/24/2023","35.80","35.65","35.80","35.50","300.70K","0.00%"
"02/23/2023","35.80","35.65","35.80","35.50","300.70K","0.42%"
"02/22/2023","35.65","35.70","35.70","35.40","228.10K","0.28%"
"02/21/2023","35.55","35.60","35.70","35.45","306.40K","0.14%"
"02/20/2023","35.50","35.50","35.55","35.35","101.60K","0.00%"
"02/17/2023","35.50","35.50","35.70","35.30","67.50K","0.57%"
"02/16/2023","35.30","35.15","35.75","35.10","262.80K","0.57%"
"02/15/2023","35.10","35.30","35.30","35.00","246.40K","-0.71%"
"02/14/2023","35.35","35.40","35.50","35.15","160.90K","0.14%"
"02/13/2023","35.30","35.35","35.50","35.25","689.70K","-0.42%"
"02/10/2023","35.45","36.15","36.15","35.40","513.30K","-0.56%"
"02/09/2023","35.65","36.00","36.25","35.65","357.00K","0.14%"
"02/08/2023","35.60","35.90","36.00","35.60","389.00K","-1.11%"
"02/07/2023","36.00","36.00","36.25","35.90","299.60K","0.28%"
"02/06/2023","35.90","36.35","36.75","35.75","309.90K","-1.24%"
"02/03/2023","36.35","36.40","36.90","36.35","885.50K","0.00%"
"02/02/2023","36.35","35.90","36.40","35.90","526.40K","1.25%"
"02/01/2023","35.90","35.60","36.00","35.60","472.20K","0.84%"
"01/31/2023","35.60","35.80","35.90","35.60","570.30K","-0.42%"
"01/30/2023","35.75","35.95","35.95","35.75","264.50K","-0.28%"
"01/27/2023","35.85","36.00","36.05","35.80","733.80K","0.00%"
"01/26/2023","35.85","35.80","36.00","35.80","392.60K","0.14%"
"01/25/2023","35.80","36.40","36.40","35.50","416.70K","0.70%"
"01/24/2023","35.55","36.50","36.50","35.55","631.80K","-1.25%"
"01/23/2023","36.00","36.10","36.25","35.95","566.80K","-0.28%"
"01/20/2023","36.10","36.20","36.60","36.00","341.40K","-0.28%"
"01/19/2023","36.20","35.70","36.30","35.70","582.80K","1.69%"
"01/18/2023","35.60","35.70","35.90","35.60","1.31M","-0.28%"
"01/17/2023","35.70","35.95","35.95","35.60","721.30K","-0.70%"
"01/16/2023","35.95","36.10","36.30","35.50","414.40K","-0.14%"
"01/13/2023","36.00","35.50","36.10","35.50","240.70K","0.42%"
"01/12/2023","35.85","35.90","36.50","35.20","256.90K","0.99%"
"01/11/2023","35.50","36.40","36.50","35.50","156.60K","-1.66%"
"01/10/2023","36.10","35.95","36.20","35.95","434.80K","0.42%"
"01/09/2023","35.95","35.50","36.50","35.50","169.70K","2.13%"
"01/06/2023","35.20","35.15","35.60","35.10","338.10K","0.14%"
"01/05/2023","35.15","35.00","35.50","35.00","130.70K","0.43%"
"01/04/2023","35.00","35.00","35.20","34.90","411.40K","-0.57%"
"01/03/2023","35.20","35.35","35.80","35.20","154.20K","-0.56%"
"12/29/2022","35.40","35.85","35.95","35.40","92.70K","-0.28%"
