"Date","Price","Open","High","Low","Vol.","Change %"
"03/15/2023","104.30","104.40","106.20","104.30","1.47M","0.48%"
"03/14/2023","103.80","103.90","104.70","103.30","1.88M","-1.24%"
"03/13/2023","105.10","106.10","107.80","104.00","1.69M","-3.58%"
"03/10/2023","109.00","106.10","109.00","105.20","1.19M","0.93%"
"03/09/2023","108.00","109.00","109.00","107.30","1.31M","-0.92%"
"03/08/2023","109.00","108.50","109.00","106.60","2.55M","0.46%"
"03/07/2023","108.50","106.00","109.20","106.00","2.12M","2.55%"
"03/06/2023","105.80","107.90","108.40","105.80","1.34M","-1.95%"
"03/03/2023","107.90","104.90","108.80","104.90","2.51M","3.65%"
"03/02/2023","104.10","104.60","105.90","104.00","3.40M","0.10%"
"03/01/2023","104.00","108.00","108.00","103.90","1.57M","-5.28%"
"02/28/2023","109.80","102.90","109.80","102.80","5.48M","6.60%"
"02/27/2023","103.00","103.10","104.00","102.50","2.33M","-0.10%"
"02/24/2023","103.10","104.00","104.90","102.80","2.10M","0.00%"
"02/23/2023","103.10","104.00","104.90","102.80","2.10M","-0.87%"
"02/22/2023","104.00","108.60","108.60","104.00","2.29M","-4.41%"
"02/21/2023","108.80","104.50","108.80","103.00","2.05M","4.11%"
"02/20/2023","104.50","105.10","105.50","103.70","753.71K","-0.95%"
"02/17/2023","105.50","105.10","106.00","104.10","1.94M","0.38%"
"02/16/2023","105.10","105.70","106.50","105.00","1.40M","-0.85%"
"02/15/2023","106.00","104.30","106.00","103.10","1.27M","1.63%"
"02/14/2023","104.30","106.00","106.50","103.30","1.21M","-1.60%"
"02/13/2023","106.00","106.30","108.00","106.00","1.21M","-0.47%"
"02/10/2023","106.50","106.50","108.00","106.50","1.06M","0.00%"
"02/09/2023","106.50","108.50","110.00","106.50","943.90K","-1.84%"
"02/08/2023","108.50","106.50","108.50","105.50","828.74K","1.50%"
"02/07/2023","106.90","108.00","108.60","106.30","2.00M","-1.02%"
"02/06/2023","108.00","110.40","110.40","106.50","3.26M","-2.17%"
"02/03/2023","110.40","110.20","112.00","109.00","3.33M","0.36%"
"02/02/2023","110.00","110.00","111.30","108.30","2.80M","0.00%"
"02/01/2023","110.00","105.10","110.00","105.10","1.46M","4.76%"
"01/31/2023","105.00","109.80","109.80","104.70","3.39M","-4.55%"
"01/30/2023","110.00","109.90","110.00","107.30","1.58M","-0.09%"
"01/27/2023","110.10","109.60","110.80","108.70","1.88M","1.38%"
"01/26/2023","108.60","109.20","109.70","108.10","904.12K","-0.55%"
"01/25/2023","109.20","108.40","109.90","107.60","1.12M","0.83%"
"01/24/2023","108.30","110.00","111.00","108.20","1.06M","-1.55%"
"01/23/2023","110.00","109.10","110.00","108.30","509.62K","0.09%"
"01/20/2023","109.90","110.50","110.90","108.60","1.52M","-0.54%"
"01/19/2023","110.50","110.20","113.00","110.20","1.42M","-2.47%"
"01/18/2023","113.30","110.30","113.30","108.20","2.61M","2.72%"
"01/17/2023","110.30","112.40","112.50","106.60","2.14M","-1.87%"
"01/16/2023","112.40","109.90","115.40","109.50","4.13M","2.18%"
"01/13/2023","110.00","103.10","110.00","103.00","3.75M","6.69%"
"01/12/2023","103.10","101.50","103.80","101.50","1.58M","1.78%"
"01/11/2023","101.30","103.50","104.30","100.00","3.01M","-3.06%"
"01/10/2023","104.50","104.00","105.90","103.10","1.76M","-1.42%"
"01/09/2023","106.00","100.50","106.00","100.40","2.78M","5.37%"
"01/06/2023","100.60","99.90","102.10","99.55","1.26M","0.80%"
"01/05/2023","99.80","98.75","102.40","98.75","1.04M","1.53%"
"01/04/2023","98.30","98.80","100.90","98.30","1.51M","0.31%"
"01/03/2023","98.00","100.00","100.10","98.00","1.05M","-3.92%"
"12/29/2022","102.00","98.80","102.00","98.60","775.12K","3.03%"
"12/28/2022","99.00","99.80","99.80","98.65","1.08M","0.00%"
"12/27/2022","99.00","99.80","100.00","98.65","496.81K","-0.80%"
"12/23/2022","99.80","100.00","100.00","99.25","304.68K","-0.20%"
"12/22/2022","100.00","100.00","100.10","98.50","1.44M","-0.50%"
"12/21/2022","100.50","99.05","101.50","98.55","1.42M","2.55%"
"12/20/2022","98.00","97.75","99.00","97.30","418.91K","0.51%"
"12/19/2022","97.50","98.00","99.20","96.10","1.18M","-2.45%"
"12/16/2022","99.95","99.55","99.95","97.30","2.34M","-0.05%"
"12/15/2022","100.00","99.00","100.00","99.00","958.05K","1.01%"
"12/14/2022","99.00","100.00","100.80","99.00","1.03M","-1.00%"
"12/13/2022","100.00","99.10","100.00","98.55","863.55K","0.91%"
"12/12/2022","99.10","98.50","99.90","98.50","1.10M","0.61%"
"12/09/2022","98.50","98.70","100.90","97.00","1.65M","-0.51%"
"12/07/2022","99.00","100.20","102.40","99.00","1.41M","-3.70%"
"12/06/2022","102.80","98.40","102.80","98.00","2.24M","4.90%"
"12/05/2022","98.00","99.95","100.90","98.00","1.03M","-1.01%"
"12/02/2022","99.00","103.30","103.30","99.00","2.11M","-4.81%"
"12/01/2022","104.00","102.50","104.80","100.20","3.35M","-1.79%"
"11/29/2022","105.90","102.50","105.90","100.00","7.51M","3.42%"
"11/28/2022","102.40","102.00","102.70","100.70","2.51M","0.29%"
"11/25/2022","102.10","98.90","102.10","97.00","2.41M","3.13%"
"11/24/2022","99.00","98.00","99.95","97.20","3.44M","1.02%"
"11/23/2022","98.00","98.00","98.05","97.15","1.04M","0.20%"
"11/22/2022","97.80","97.50","98.40","97.30","1.38M","0.10%"
"11/21/2022","97.70","97.50","97.70","97.00","539.20K","0.21%"
"11/18/2022","97.50","96.85","97.90","94.65","1.62M","1.77%"
"11/17/2022","95.80","96.50","97.35","94.55","1.55M","-0.83%"
"11/16/2022","96.60","96.45","96.60","95.40","2.46M","0.99%"
"11/15/2022","95.65","95.25","96.50","94.10","1.56M","-0.36%"
"11/14/2022","96.00","94.00","96.65","94.00","2.76M","2.24%"
"11/11/2022","93.90","93.50","95.95","93.50","2.91M","2.51%"
"11/10/2022","91.60","94.30","94.30","91.60","1.42M","-3.38%"
"11/09/2022","94.80","94.90","95.50","94.20","4.39M","-0.21%"
"11/08/2022","95.00","96.95","97.20","93.20","2.00M","-2.01%"
"11/07/2022","96.95","96.85","97.50","96.20","2.16M","-0.05%"
"11/04/2022","97.00","94.50","97.00","92.95","1.47M","3.03%"
"11/03/2022","94.15","93.90","94.85","92.95","2.40M","0.16%"
"11/02/2022","94.00","98.50","98.80","93.90","3.36M","-2.08%"
"10/28/2022","96.00","94.40","96.45","94.30","1.59M","1.80%"
"10/27/2022","94.30","93.20","94.30","93.10","1.99M","1.13%"
"10/26/2022","93.25","93.10","93.35","92.10","1.67M","-0.11%"
"10/25/2022","93.35","91.50","93.35","91.00","1.92M","2.02%"
"10/24/2022","91.50","91.00","92.40","91.00","2.14M","0.55%"
"10/21/2022","91.00","93.00","93.50","91.00","1.94M","-2.57%"
"10/20/2022","93.40","92.00","93.60","91.00","3.62M","1.52%"
"10/19/2022","92.00","91.90","92.00","91.05","1.25M","0.22%"
"10/18/2022","91.80","91.00","91.90","90.70","1.83M","1.44%"
"10/17/2022","90.50","91.70","92.05","90.50","1.29M","-1.09%"
"10/14/2022","91.50","92.05","92.95","91.50","1.52M","-0.54%"
"10/13/2022","92.00","91.50","93.50","91.00","513.31K","0.00%"
"10/12/2022","92.00","93.10","93.40","92.00","152.16K","-1.45%"
"10/11/2022","93.35","92.95","94.45","92.85","1.99M","0.43%"
"10/10/2022","92.95","93.00","93.00","91.30","1.58M","-0.05%"
"10/07/2022","93.00","91.30","93.05","91.30","2.99M","1.86%"
"10/06/2022","91.30","91.80","93.90","91.10","608.03K","0.22%"
"10/05/2022","91.10","92.00","93.00","88.95","941.31K","-0.87%"
"10/04/2022","91.90","92.00","93.00","90.00","1.28M","-0.11%"
"10/03/2022","92.00","88.05","92.00","87.00","1.31M","2.79%"
"09/30/2022","89.50","88.75","90.75","88.50","1.32M","-0.56%"
"09/29/2022","90.00","90.30","90.70","88.50","2.51M","-0.33%"
"09/28/2022","90.30","88.60","90.95","88.35","3.60M","1.63%"
"09/27/2022","88.85","93.05","93.10","88.05","4.16M","-4.67%"
"09/23/2022","93.20","93.80","93.80","93.15","2.09M","-0.85%"
"09/22/2022","94.00","93.65","94.00","93.20","1.01M","0.37%"
"09/21/2022","93.65","96.20","96.50","92.90","1.67M","-3.30%"
"09/20/2022","96.85","96.00","97.00","95.60","1.78M","0.89%"
"09/19/2022","96.00","96.50","96.50","94.30","1.39M","-1.03%"
"09/16/2022","97.00","97.00","97.55","96.35","2.23M","0.00%"
"09/15/2022","97.00","96.90","97.90","96.40","1.33M","0.21%"
"09/14/2022","96.80","98.10","98.10","96.40","745.69K","-1.48%"
"09/13/2022","98.25","98.00","99.20","97.60","2.75M","0.00%"
"09/12/2022","98.25","96.40","98.50","96.15","1.33M","2.24%"
"09/09/2022","96.10","95.05","96.95","95.05","502.08K","1.10%"
"09/08/2022","95.05","95.05","96.75","94.90","1.39M","0.05%"
"09/07/2022","95.00","97.15","97.15","95.00","833.62K","-2.46%"
"09/06/2022","97.40","96.95","98.40","96.15","1.79M","0.46%"
"09/05/2022","96.95","96.00","97.00","95.45","1.38M","0.99%"
"09/02/2022","96.00","96.15","97.50","95.25","1.33M","-0.16%"
"09/01/2022","96.15","94.95","96.50","94.05","2.66M","1.26%"
"08/31/2022","94.95","94.35","96.00","94.00","5.72M","0.58%"
"08/30/2022","94.40","94.40","94.95","93.70","2.78M","-2.63%"
"08/26/2022","96.95","94.15","96.95","94.05","1.90M","2.97%"
"08/25/2022","94.15","93.00","94.35","93.00","774.13K","1.35%"
"08/24/2022","92.90","93.85","94.40","92.50","355.43K","-1.06%"
"08/23/2022","93.90","92.35","93.90","91.20","889.07K","1.68%"
"08/22/2022","92.35","95.40","95.45","92.35","952.54K","-3.60%"
"08/19/2022","95.80","95.05","95.95","94.25","460.46K","0.42%"
"08/18/2022","95.40","93.00","95.70","93.00","955.23K","2.58%"
"08/17/2022","93.00","96.00","96.25","93.00","2.75M","-2.72%"
"08/16/2022","95.60","95.05","95.90","94.80","1.70M","0.31%"
"08/15/2022","95.30","95.40","96.20","94.55","768.24K","0.00%"
"08/12/2022","95.30","95.00","95.50","93.75","1.31M","0.32%"
"08/11/2022","95.00","94.25","95.20","93.75","1.28M","0.80%"
"08/10/2022","94.25","94.60","94.60","93.50","432.95K","-0.89%"
"08/09/2022","95.10","96.45","96.45","94.60","1.08M","-1.45%"
"08/08/2022","96.50","95.50","96.50","94.10","428.93K","0.78%"
"08/05/2022","95.75","94.00","97.00","93.30","2.17M","1.86%"
"08/04/2022","94.00","93.00","94.00","92.10","1.54M","1.08%"
"08/03/2022","93.00","92.00","93.10","91.10","1.48M","1.09%"
"08/02/2022","92.00","90.00","92.90","89.50","911.79K","2.17%"
"08/01/2022","90.05","92.55","92.60","90.05","977.18K","-3.17%"
"07/29/2022","93.00","90.80","93.50","90.00","2.07M","1.31%"
"07/28/2022","91.80","86.95","91.80","86.80","2.21M","5.52%"
"07/27/2022","87.00","86.25","88.00","85.65","3.50M","0.58%"
"07/26/2022","86.50","87.00","87.00","86.50","1.76M","0.12%"
"07/25/2022","86.40","88.70","88.70","86.05","1.00M","-2.65%"
"07/22/2022","88.75","89.00","89.50","88.10","687.66K","-0.28%"
"07/21/2022","89.00","89.50","90.00","88.25","3.29M","0.00%"
"07/20/2022","89.00","89.50","89.95","88.75","1.51M","-0.45%"
"07/19/2022","89.40","89.45","89.45","88.10","898.12K","-0.11%"
"07/18/2022","89.50","88.60","89.50","87.85","727.43K","1.02%"
"07/15/2022","88.60","90.00","90.00","87.75","1.58M","-1.56%"
"07/14/2022","90.00","87.65","90.00","87.55","1.37M","2.80%"
"07/13/2022","87.55","89.00","89.90","87.25","688.63K","-1.63%"
"07/12/2022","89.00","88.95","90.45","88.15","1.35M","0.23%"
"07/11/2022","88.80","87.10","88.80","87.10","597.22K","2.07%"
"07/08/2022","87.00","87.50","92.00","87.00","2.05M","-0.34%"
"07/07/2022","87.30","88.90","88.90","87.20","991.84K","-1.80%"
"07/06/2022","88.90","89.45","90.00","88.00","1.21M","-0.11%"
"07/05/2022","89.00","86.00","89.00","86.00","864.21K","3.49%"
"07/04/2022","86.00","86.00","86.25","85.20","924.02K","0.00%"
"07/01/2022","86.00","85.85","86.00","85.05","714.91K","1.42%"
"06/30/2022","84.80","86.40","87.00","84.00","2.13M","-1.85%"
"06/29/2022","86.40","86.70","86.70","86.15","1.13M","0.35%"
"06/28/2022","86.10","85.50","86.90","85.35","2.36M","0.70%"
"06/27/2022","85.50","87.90","87.90","85.05","3.09M","-2.84%"
"06/24/2022","88.00","86.50","89.75","84.40","3.06M","1.73%"
"06/23/2022","86.50","90.95","91.95","86.20","3.25M","-4.95%"
"06/22/2022","91.00","93.20","93.95","90.80","1.07M","-1.73%"
"06/21/2022","92.60","93.90","94.40","92.30","826.10K","-0.96%"
"06/20/2022","93.50","93.00","94.50","93.00","1.05M","-1.37%"
"06/17/2022","94.80","93.50","94.95","92.00","5.04M","-1.25%"
"06/16/2022","96.00","92.10","96.00","91.80","2.28M","3.39%"
"06/15/2022","92.85","92.05","94.00","92.05","1.28M","-0.64%"
"06/14/2022","93.45","92.00","93.45","90.50","1.70M","0.86%"
"06/13/2022","92.65","92.60","93.90","90.60","1.72M","0.05%"
"06/10/2022","92.60","97.70","97.70","92.60","1.84M","-5.32%"
"06/09/2022","97.80","97.00","98.00","96.55","1.12M","0.82%"
"06/08/2022","97.00","95.50","97.45","94.35","1.74M","1.94%"
"06/07/2022","95.15","94.55","95.75","94.55","1.01M","0.05%"
"06/06/2022","95.10","95.00","96.45","94.35","1.05M","0.11%"
"06/03/2022","95.00","93.30","95.45","93.30","717.09K","0.96%"
"06/02/2022","94.10","96.00","96.75","93.55","1.79M","-1.77%"
"06/01/2022","95.80","98.70","98.80","95.10","1.78M","-3.09%"
"05/31/2022","98.85","97.50","98.85","95.50","13.00M","1.38%"
"05/30/2022","97.50","96.00","98.00","94.70","2.05M","1.99%"
"05/27/2022","95.60","96.00","96.45","94.25","1.27M","-1.44%"
"05/26/2022","97.00","96.00","97.00","94.00","2.63M","0.73%"
"05/25/2022","96.30","92.55","96.30","92.55","1.42M","1.90%"
