"Date","Price","Open","High","Low","Vol.","Change %"
"03/15/2023","24.500","24.650","24.850","24.500","7.26M","-2.00%"
"03/14/2023","25.000","25.350","25.750","25.000","2.35M","-2.34%"
"03/13/2023","25.600","25.500","25.950","25.500","500.50K","0.59%"
"03/10/2023","25.450","26.050","26.050","25.450","505.70K","-2.12%"
"03/09/2023","26.000","26.000","26.050","25.500","1.95M","0.00%"
"03/08/2023","26.000","26.000","26.050","25.650","388.80K","0.00%"
"03/07/2023","26.000","26.000","26.100","25.550","1.53M","0.00%"
"03/06/2023","26.000","26.000","26.450","25.850","2.10M","0.00%"
"03/03/2023","26.000","26.000","26.250","25.800","858.00K","-0.95%"
"03/02/2023","26.250","26.100","26.250","25.800","967.20K","1.35%"
"03/01/2023","25.900","26.000","26.050","25.500","1.58M","-1.33%"
"02/28/2023","26.250","25.000","26.250","24.750","1.91M","5.00%"
"02/27/2023","25.000","25.000","25.500","24.700","505.40K","0.00%"
"02/24/2023","25.000","25.350","25.500","25.000","68.40K","0.00%"
"02/23/2023","25.000","25.350","25.500","25.000","68.40K","-0.79%"
"02/22/2023","25.200","25.450","25.450","25.000","998.90K","0.40%"
"02/21/2023","25.100","25.550","25.550","25.000","1.15M","-1.57%"
"02/20/2023","25.500","25.550","25.550","25.000","1.79M","0.00%"
"02/17/2023","25.500","25.500","25.700","25.250","435.60K","0.00%"
"02/16/2023","25.500","25.500","25.700","25.400","1.24M","-0.58%"
"02/15/2023","25.650","25.500","25.750","25.250","1.91M","0.59%"
"02/14/2023","25.500","25.500","25.750","25.500","2.11M","0.00%"
"02/13/2023","25.500","25.400","25.550","25.000","724.40K","0.39%"
"02/10/2023","25.400","24.700","25.400","24.700","418.20K","0.79%"
"02/09/2023","25.200","24.900","25.550","24.900","501.00K","-1.18%"
"02/08/2023","25.500","25.200","25.800","25.000","1.40M","1.19%"
"02/07/2023","25.200","24.950","25.250","24.450","651.70K","0.80%"
"02/06/2023","25.000","25.000","25.800","24.600","1.02M","0.81%"
"02/03/2023","24.800","25.300","25.350","24.800","4.33M","-0.60%"
"02/02/2023","24.950","25.000","25.400","24.600","5.12M","-1.77%"
"02/01/2023","25.400","24.500","25.500","24.500","1.80M","-1.55%"
"01/31/2023","25.800","23.800","25.800","23.700","2.66M","8.18%"
"01/30/2023","23.850","24.400","24.400","23.850","4.14M","-2.25%"
"01/27/2023","24.400","24.900","24.900","24.200","921.90K","-0.41%"
"01/26/2023","24.500","24.500","24.900","24.500","539.50K","0.00%"
"01/25/2023","24.500","25.150","25.150","24.350","1.33M","-2.78%"
"01/24/2023","25.200","24.800","25.650","24.550","2.00M","1.61%"
"01/23/2023","24.800","25.000","25.250","24.800","722.10K","0.00%"
"01/20/2023","24.800","24.300","25.350","24.300","675.20K","2.06%"
"01/19/2023","24.300","25.000","25.250","24.300","837.70K","-2.02%"
"01/18/2023","24.800","25.000","25.550","24.700","1.51M","-0.80%"
"01/17/2023","25.000","24.900","25.200","24.900","1.07M","0.60%"
"01/16/2023","24.850","24.600","25.000","24.600","1.77M","1.02%"
"01/13/2023","24.600","24.000","24.900","24.000","1.30M","2.50%"
"01/12/2023","24.000","24.000","24.350","23.900","6.10M","0.00%"
"01/11/2023","24.000","24.050","24.050","23.900","3.15M","0.00%"
"01/10/2023","24.000","24.650","24.750","24.000","2.09M","-2.24%"
"01/09/2023","24.550","24.900","25.000","24.500","501.50K","-1.41%"
"01/06/2023","24.900","25.450","25.450","24.900","805.70K","-1.19%"
