"Date","Price","Open","High","Low","Vol.","Change %"
"03/15/2023","15.00","14.70","15.02","14.66","5.11M","2.04%"
"03/14/2023","14.70","15.10","15.10","14.70","2.08M","-2.26%"
"03/13/2023","15.04","15.40","15.66","15.02","2.33M","-2.97%"
"03/10/2023","15.50","15.62","15.62","15.30","1.66M","-1.40%"
"03/09/2023","15.72","15.90","16.00","15.64","1.46M","-1.13%"
"03/08/2023","15.90","16.00","16.06","15.78","1.02M","-0.63%"
"03/07/2023","16.00","15.76","16.28","15.76","3.03M","2.43%"
"03/06/2023","15.62","15.66","15.90","15.46","1.26M","1.03%"
"03/03/2023","15.46","15.40","15.70","15.40","1.07M","0.65%"
"03/02/2023","15.36","15.80","15.80","15.32","2.88M","-1.54%"
"03/01/2023","15.60","16.18","16.18","15.60","3.27M","-4.06%"
"02/28/2023","16.26","15.70","16.26","15.60","5.97M","4.10%"
"02/27/2023","15.62","16.44","16.58","15.62","4.39M","-4.99%"
"02/24/2023","16.44","16.40","16.74","16.32","3.73M","0.00%"
"02/23/2023","16.44","16.40","16.74","16.32","3.73M","0.98%"
"02/22/2023","16.28","16.18","16.38","16.08","4.43M","1.62%"
"02/21/2023","16.02","16.34","16.44","16.00","1.63M","-1.11%"
"02/20/2023","16.20","16.08","16.50","16.08","2.23M","0.87%"
"02/17/2023","16.06","16.00","16.18","15.70","4.86M","0.12%"
"02/16/2023","16.04","16.20","16.66","16.04","3.69M","-1.23%"
"02/15/2023","16.24","16.64","16.80","16.18","2.75M","-2.29%"
"02/14/2023","16.62","16.90","16.90","16.62","1.95M","-1.54%"
"02/13/2023","16.88","16.84","17.00","16.70","5.47M","0.12%"
"02/10/2023","16.86","17.12","17.34","16.76","5.40M","-1.52%"
"02/09/2023","17.12","17.58","17.58","17.12","4.78M","-2.73%"
"02/08/2023","17.60","17.62","17.88","17.60","1.90M","0.00%"
"02/07/2023","17.60","17.96","17.98","17.60","1.98M","-2.22%"
"02/06/2023","18.00","17.70","18.22","17.40","6.00M","0.56%"
"02/03/2023","17.90","18.26","18.28","17.62","4.27M","-1.97%"
"02/02/2023","18.26","18.28","18.56","18.20","2.24M","0.55%"
"02/01/2023","18.16","17.48","18.50","17.00","14.50M","3.89%"
"01/31/2023","17.48","17.50","17.50","16.70","11.44M","1.63%"
"01/30/2023","17.20","18.22","18.28","17.20","13.73M","-6.32%"
"01/27/2023","18.36","18.50","18.56","18.20","4.08M","-1.18%"
