"Date","Price","Open","High","Low","Vol.","Change %"
"03/15/2023","2.45","2.43","2.45","2.43","378.00K","1.24%"
"03/14/2023","2.42","2.42","2.43","2.40","1.20M","0.00%"
"03/13/2023","2.42","2.42","2.42","2.39","640.00K","0.00%"
"03/10/2023","2.42","2.45","2.45","2.39","3.93M","-1.22%"
"03/09/2023","2.45","2.47","2.47","2.44","577.00K","-0.41%"
"03/08/2023","2.46","2.47","2.48","2.45","930.00K","-0.40%"
"03/07/2023","2.47","2.47","2.48","2.46","1.47M","-0.40%"
"03/06/2023","2.48","2.46","2.48","2.45","2.04M","1.22%"
"03/03/2023","2.45","2.46","2.46","2.42","1.45M","0.41%"
"03/02/2023","2.44","2.44","2.46","2.43","1.31M","0.83%"
"03/01/2023","2.42","2.40","2.46","2.40","2.02M","0.83%"
"02/28/2023","2.40","2.44","2.44","2.40","2.12M","-0.41%"
"02/27/2023","2.41","2.44","2.44","2.39","4.92M","-1.23%"
"02/24/2023","2.44","2.44","2.45","2.41","529.00K","0.00%"
"02/23/2023","2.44","2.44","2.45","2.41","529.00K","0.00%"
"02/22/2023","2.44","2.45","2.45","2.41","2.19M","-0.81%"
"02/21/2023","2.46","2.46","2.46","2.44","935.00K","0.00%"
"02/20/2023","2.46","2.48","2.48","2.44","682.00K","-0.81%"
"02/17/2023","2.48","2.47","2.48","2.41","5.08M","0.40%"
"02/16/2023","2.47","2.45","2.48","2.45","1.32M","1.23%"
"02/15/2023","2.44","2.48","2.48","2.44","2.05M","-1.21%"
"02/14/2023","2.47","2.48","2.48","2.47","1.01M","0.41%"
"02/13/2023","2.46","2.49","2.49","2.46","1.81M","-1.20%"
"02/10/2023","2.49","2.48","2.50","2.46","2.01M","1.22%"
"02/09/2023","2.46","2.48","2.50","2.46","2.29M","0.00%"
"02/08/2023","2.46","2.43","2.48","2.43","965.00K","1.65%"
"02/07/2023","2.42","2.47","2.49","2.40","5.38M","-2.02%"
"02/06/2023","2.47","2.50","2.50","2.47","1.83M","-0.40%"
"02/03/2023","2.48","2.50","2.51","2.48","2.79M","-0.40%"
"02/02/2023","2.49","2.50","2.51","2.49","2.16M","0.00%"
"02/01/2023","2.49","2.45","2.49","2.44","2.26M","2.47%"
"01/31/2023","2.43","2.46","2.47","2.41","2.98M","-1.22%"
"01/30/2023","2.46","2.47","2.48","2.44","2.76M","0.00%"
"01/27/2023","2.46","2.45","2.50","2.45","3.94M","0.00%"
"01/26/2023","2.46","2.44","2.47","2.43","3.79M","0.82%"
"01/25/2023","2.44","2.44","2.45","2.43","1.64M","0.00%"
"01/24/2023","2.44","2.41","2.44","2.40","5.43M","1.67%"
"01/23/2023","2.40","2.38","2.40","2.38","1.71M","1.27%"
"01/20/2023","2.37","2.39","2.40","2.37","3.02M","-0.42%"
"01/19/2023","2.38","2.38","2.41","2.37","3.34M","0.00%"
"01/18/2023","2.38","2.36","2.39","2.36","1.71M","0.85%"
"01/17/2023","2.36","2.39","2.39","2.36","1.96M","-1.26%"
"01/16/2023","2.39","2.37","2.39","2.36","3.54M","0.84%"
"01/13/2023","2.37","2.32","2.38","2.32","3.15M","2.16%"
"01/12/2023","2.32","2.31","2.34","2.31","2.55M","0.43%"
"01/11/2023","2.31","2.34","2.34","2.30","2.43M","-0.86%"
"01/10/2023","2.33","2.33","2.35","2.31","2.25M","0.00%"
"01/09/2023","2.33","2.29","2.35","2.28","2.56M","2.19%"
"01/06/2023","2.28","2.29","2.29","2.26","6.11M","-0.44%"
"01/05/2023","2.29","2.31","2.31","2.26","2.63M","-0.43%"
"01/04/2023","2.30","2.30","2.32","2.29","1.07M","0.44%"
"01/03/2023","2.29","2.29","2.30","2.26","2.29M","0.00%"
"12/29/2022","2.29","2.23","2.30","2.22","2.00M","3.15%"
"12/28/2022","2.22","2.20","2.23","2.20","2.03M","0.91%"
"12/27/2022","2.20","2.20","2.22","2.17","1.42M","0.92%"
"12/23/2022","2.18","2.21","2.21","2.18","4.02M","-0.91%"
"12/22/2022","2.20","2.20","2.22","2.18","1.66M","0.00%"
"12/21/2022","2.20","2.20","2.22","2.19","842.00K","0.46%"
"12/20/2022","2.19","2.18","2.19","2.16","888.00K","0.00%"
