"Date","Price","Open","High","Low","Vol.","Change %"
"03/15/2023","7.770","7.610","7.850","7.600","720.00K","3.60%"
"03/14/2023","7.500","7.690","7.700","7.460","10.29M","-2.47%"
"03/13/2023","7.690","7.790","7.800","7.680","3.78M","-1.28%"
"03/10/2023","7.790","7.860","7.960","7.520","1.38M","-0.89%"
"03/09/2023","7.860","7.840","7.990","7.840","266.70K","0.26%"
"03/08/2023","7.840","7.900","7.900","7.800","1.10M","-2.49%"
"03/07/2023","8.040","7.980","8.120","7.900","739.20K","1.52%"
"03/06/2023","7.920","7.980","7.990","7.910","327.20K","1.54%"
"03/03/2023","7.800","7.880","8.050","7.800","1.86M","-0.13%"
"03/02/2023","7.810","7.980","8.030","7.810","1.37M","0.00%"
"03/01/2023","7.810","7.880","8.000","7.810","5.79M","-0.89%"
"02/28/2023","7.880","7.870","8.040","7.850","2.26M","0.13%"
"02/27/2023","7.870","8.120","8.120","7.800","4.26M","-3.08%"
"02/24/2023","8.120","8.100","8.160","8.080","670.40K","0.00%"
"02/23/2023","8.120","8.100","8.160","8.080","670.40K","0.25%"
"02/22/2023","8.100","8.300","8.300","8.100","1.40M","-2.06%"
"02/21/2023","8.270","8.480","8.480","8.250","2.92M","-1.90%"
"02/20/2023","8.430","8.460","8.600","8.420","4.57M","0.24%"
"02/17/2023","8.410","8.640","8.640","8.410","923.70K","-2.10%"
"02/16/2023","8.590","8.490","8.620","8.490","946.50K","2.02%"
"02/15/2023","8.420","8.500","8.550","8.350","1.18M","-0.94%"
"02/14/2023","8.500","8.500","8.600","8.500","1.59M","-0.12%"
"02/13/2023","8.510","8.550","8.600","8.480","2.81M","-1.05%"
"02/10/2023","8.600","8.630","8.700","8.500","566.10K","-0.23%"
"02/09/2023","8.620","8.690","8.690","8.520","1.08M","-1.26%"
"02/08/2023","8.730","8.620","8.730","8.600","4.49M","1.39%"
"02/07/2023","8.610","8.390","8.620","8.350","1.82M","2.50%"
"02/06/2023","8.400","8.400","8.440","8.350","1.86M","-0.12%"
"02/03/2023","8.410","8.500","8.500","8.330","963.90K","-1.06%"
"02/02/2023","8.500","8.500","8.600","8.460","5.62M","0.12%"
"02/01/2023","8.490","8.250","8.600","8.150","11.07M","2.29%"
"01/31/2023","8.300","8.180","8.300","8.060","4.09M","1.47%"
"01/30/2023","8.180","8.270","8.330","8.150","1.60M","-0.85%"
"01/27/2023","8.250","8.270","8.320","8.250","1.03M","-0.24%"
