"Date","Price","Open","High","Low","Vol.","Change %"
"03/15/2023","1,758.00","1,784.00","1,807.00","1,755.00","133.88K","-1.07%"
"03/14/2023","1,777.00","1,798.00","1,812.00","1,775.00","111.64K","-1.28%"
"03/13/2023","1,800.00","1,800.00","1,839.00","1,785.00","83.12K","-1.10%"
"03/10/2023","1,820.00","1,792.00","1,829.00","1,772.00","246.57K","1.11%"
"03/09/2023","1,800.00","1,839.00","1,850.00","1,800.00","139.02K","-2.12%"
"03/08/2023","1,839.00","1,832.00","1,843.00","1,815.00","260.03K","-0.59%"
"03/07/2023","1,850.00","1,875.00","1,885.00","1,835.00","187.37K","-1.28%"
"03/06/2023","1,874.00","1,860.00","1,885.00","1,860.00","70.78K","1.30%"
"03/03/2023","1,850.00","1,815.00","1,862.00","1,803.00","232.80K","2.38%"
"03/02/2023","1,807.00","1,831.00","1,834.00","1,800.00","334.11K","-0.06%"
"03/01/2023","1,808.00","1,825.00","1,835.00","1,797.00","641.80K","1.86%"
"02/28/2023","1,775.00","1,868.00","1,875.00","1,775.00","3.65M","-5.13%"
"02/27/2023","1,871.00","1,913.00","1,948.00","1,863.00","424.16K","-2.55%"
"02/24/2023","1,920.00","1,938.00","1,949.00","1,906.00","194.15K","0.00%"
"02/23/2023","1,920.00","1,938.00","1,949.00","1,906.00","194.15K","-0.98%"
"02/22/2023","1,939.00","1,984.00","1,984.00","1,939.00","223.74K","-2.56%"
"02/21/2023","1,990.00","2,020.00","2,026.00","1,983.00","58.84K","-1.49%"
"02/20/2023","2,020.00","2,038.00","2,048.00","2,008.00","45.71K","-0.98%"
"02/17/2023","2,040.00","1,990.00","2,040.00","1,971.00","78.14K","3.55%"
"02/16/2023","1,970.00","1,988.00","1,997.00","1,965.00","117.77K","-0.45%"
"02/15/2023","1,979.00","1,990.00","1,995.00","1,972.00","62.09K","-0.55%"
"02/14/2023","1,990.00","2,010.00","2,020.00","1,990.00","224.67K","-0.50%"
"02/13/2023","2,000.00","2,022.00","2,050.00","1,990.00","149.03K","-0.79%"
"02/10/2023","2,016.00","2,044.00","2,046.00","2,000.00","270.01K","-3.08%"
"02/09/2023","2,080.00","2,110.00","2,114.00","2,070.00","54.59K","-0.48%"
"02/08/2023","2,090.00","2,120.00","2,128.00","2,090.00","55.22K","-1.14%"
"02/07/2023","2,114.00","2,150.00","2,160.00","2,114.00","18.86K","-1.67%"
"02/06/2023","2,150.00","2,150.00","2,170.00","2,112.00","29.13K","1.03%"
"02/03/2023","2,128.00","2,170.00","2,178.00","2,128.00","86.99K","-1.94%"
"02/02/2023","2,170.00","2,148.00","2,170.00","2,108.00","83.33K","0.93%"
"02/01/2023","2,150.00","2,068.00","2,150.00","2,050.00","97.23K","6.44%"
"01/31/2023","2,020.00","2,130.00","2,150.00","2,020.00","138.97K","-6.48%"
"01/30/2023","2,160.00","2,158.00","2,170.00","2,124.00","77.29K","0.37%"
"01/27/2023","2,152.00","2,146.00","2,152.00","2,130.00","54.95K","0.28%"
"01/26/2023","2,146.00","2,148.00","2,148.00","2,132.00","50.72K","-0.19%"
"01/25/2023","2,150.00","2,120.00","2,158.00","2,100.00","61.68K","1.42%"
"01/24/2023","2,120.00","2,064.00","2,130.00","2,060.00","79.24K","3.82%"
"01/23/2023","2,042.00","2,080.00","2,080.00","2,034.00","199.74K","-1.83%"
"01/20/2023","2,080.00","2,156.00","2,156.00","2,078.00","94.00K","-3.53%"
"01/19/2023","2,156.00","2,110.00","2,164.00","2,104.00","62.78K","1.70%"
"01/18/2023","2,120.00","2,074.00","2,120.00","2,058.00","72.89K","2.22%"
"01/17/2023","2,074.00","2,104.00","2,110.00","2,074.00","85.15K","-1.33%"
"01/16/2023","2,102.00","2,110.00","2,144.00","2,102.00","87.86K","0.19%"
"01/13/2023","2,098.00","2,090.00","2,158.00","2,080.00","107.45K","1.84%"
"01/12/2023","2,060.00","2,060.00","2,096.00","2,054.00","67.43K","0.00%"
"01/11/2023","2,060.00","2,116.00","2,138.00","2,048.00","208.76K","-2.55%"
"01/10/2023","2,114.00","2,132.00","2,150.00","2,110.00","57.94K","-0.84%"
"01/09/2023","2,132.00","2,148.00","2,150.00","2,128.00","30.56K","0.28%"
"01/06/2023","2,126.00","2,168.00","2,170.00","2,122.00","47.43K","-1.76%"
"01/05/2023","2,164.00","2,218.00","2,218.00","2,158.00","92.75K","-2.43%"
"01/04/2023","2,218.00","2,220.00","2,250.00","2,202.00","75.89K","-0.09%"
