"Date","Price","Open","High","Low","Vol.","Change %"
"03/15/2023","57.00","57.10","57.90","56.80","2.55M","0.00%"
"03/14/2023","57.00","57.80","57.80","55.10","4.60M","-4.04%"
"03/13/2023","59.40","59.65","59.80","59.05","1.75M","-0.50%"
"03/10/2023","59.70","60.10","60.10","59.50","777.78K","-0.67%"
"03/09/2023","60.10","61.50","61.50","60.10","2.15M","-2.51%"
"03/08/2023","61.65","59.05","61.65","58.85","2.17M","4.49%"
"03/07/2023","59.00","60.05","60.30","59.00","2.28M","-1.58%"
"03/06/2023","59.95","59.50","60.15","59.45","1.83M","1.27%"
"03/03/2023","59.20","59.15","60.00","59.15","2.64M","0.68%"
"03/02/2023","58.80","61.30","61.30","58.60","5.64M","-4.16%"
"03/01/2023","61.35","58.40","61.35","58.30","3.76M","5.41%"
"02/28/2023","58.20","59.50","60.70","58.20","7.23M","-2.84%"
"02/27/2023","59.90","59.20","59.90","59.10","2.87M","1.70%"
"02/24/2023","58.90","60.70","60.70","58.90","5.34M","0.00%"
"02/23/2023","58.90","60.70","60.70","58.90","5.34M","-2.16%"
"02/22/2023","60.20","61.50","61.50","59.85","3.45M","-2.43%"
"02/21/2023","61.70","59.85","61.70","59.80","1.74M","2.92%"
"02/20/2023","59.95","60.50","60.85","59.70","834.22K","-0.08%"
"02/17/2023","60.00","61.40","61.40","60.00","1.26M","-1.64%"
"02/16/2023","61.00","62.50","62.50","60.70","2.74M","-2.40%"
"02/15/2023","62.50","61.95","62.60","61.65","4.65M","0.89%"
"02/14/2023","61.95","61.40","62.00","61.15","6.03M","0.90%"
"02/13/2023","61.40","61.30","61.40","60.20","5.38M","0.08%"
"02/10/2023","61.35","60.00","61.35","59.80","2.59M","1.91%"
"02/09/2023","60.20","59.80","61.45","59.70","5.34M","0.67%"
"02/08/2023","59.80","58.90","60.40","58.55","3.94M","1.87%"
"02/07/2023","58.70","59.00","59.55","58.50","1.56M","-1.34%"
"02/06/2023","59.50","59.60","59.65","58.95","2.55M","-0.50%"
"02/03/2023","59.80","59.60","59.80","59.60","6.50M","0.34%"
"02/02/2023","59.60","59.50","59.80","59.40","2.61M","0.17%"
"02/01/2023","59.50","57.35","59.60","57.35","3.48M","3.93%"
"01/31/2023","57.25","59.20","59.20","57.25","5.02M","-3.46%"
"01/30/2023","59.30","58.60","59.30","58.35","2.28M","0.85%"
"01/27/2023","58.80","58.55","58.95","58.55","2.52M","0.43%"
"01/26/2023","58.55","58.90","59.05","58.55","1.24M","-0.59%"
"01/25/2023","58.90","59.00","59.10","58.75","1.18M","0.00%"
"01/24/2023","58.90","58.70","59.35","58.60","1.90M","0.34%"
"01/23/2023","58.70","58.00","58.80","58.00","1.71M","1.56%"
"01/20/2023","57.80","59.45","59.45","57.80","3.23M","-2.78%"
"01/19/2023","59.45","59.40","59.70","59.10","1.56M","-0.59%"
"01/18/2023","59.80","59.20","59.95","58.05","3.43M","1.01%"
"01/17/2023","59.20","58.55","59.45","57.80","1.99M","1.11%"
"01/16/2023","58.55","58.95","59.60","58.45","4.04M","-0.76%"
"01/13/2023","59.00","57.45","59.00","56.90","4.71M","2.88%"
"01/12/2023","57.35","57.30","57.45","56.90","1.23M","0.09%"
"01/11/2023","57.30","57.00","57.40","56.60","2.14M","0.17%"
"01/10/2023","57.20","57.00","57.25","56.30","1.60M","-0.35%"
"01/09/2023","57.40","57.00","57.50","56.90","3.18M","0.88%"
"01/06/2023","56.90","56.00","57.00","56.00","3.06M","1.16%"
"01/05/2023","56.25","55.30","56.30","55.30","2.07M","2.83%"
"01/04/2023","54.70","55.60","56.95","54.70","1.64M","-1.08%"
"01/03/2023","55.30","54.10","55.85","54.10","955.41K","2.41%"
"12/29/2022","54.00","54.70","54.85","54.00","1.15M","-1.46%"
"12/28/2022","54.80","54.70","55.00","54.30","779.88K","0.37%"
"12/27/2022","54.60","54.80","55.35","54.50","171.40K","-0.64%"
"12/23/2022","54.95","56.30","56.30","54.95","816.68K","-2.40%"
"12/22/2022","56.30","55.80","56.40","55.50","2.11M","0.90%"
"12/21/2022","55.80","54.15","55.80","54.15","2.03M","2.39%"
"12/20/2022","54.50","54.05","54.50","53.95","751.89K","-0.73%"
"12/19/2022","54.90","55.45","55.45","53.80","1.80M","-1.17%"
"12/16/2022","55.55","53.90","55.55","53.75","3.25M","2.87%"
"12/15/2022","54.00","54.70","55.20","54.00","868.79K","-2.00%"
"12/14/2022","55.10","54.10","55.10","53.90","3.25M","2.04%"
"12/13/2022","54.00","55.00","55.50","53.40","4.95M","-1.82%"
"12/12/2022","55.00","55.00","55.55","54.10","2.20M","0.00%"
"12/09/2022","55.00","55.00","55.50","55.00","1.19M","0.00%"
"12/07/2022","55.00","55.60","55.85","54.90","1.96M","-1.08%"
"12/06/2022","55.60","53.80","55.95","53.70","1.94M","3.35%"
"12/05/2022","53.80","54.10","55.35","53.80","2.00M","-0.37%"
"12/02/2022","54.00","56.65","56.65","54.00","3.04M","-4.76%"
"12/01/2022","56.70","57.20","57.30","56.05","1.95M","-1.05%"
"11/29/2022","57.30","56.70","57.30","55.55","7.83M","0.09%"
"11/28/2022","57.25","55.95","57.25","55.20","4.41M","1.96%"
"11/25/2022","56.15","54.30","56.25","54.15","6.88M","3.60%"
"11/24/2022","54.20","53.75","54.45","53.35","4.57M","0.84%"
"11/23/2022","53.75","53.00","53.75","52.80","2.93M","1.42%"
"11/22/2022","53.00","51.80","53.00","51.75","3.43M","2.51%"
"11/21/2022","51.70","51.90","51.90","51.00","1.46M","0.10%"
"11/18/2022","51.65","50.55","52.05","50.55","2.95M","2.89%"
"11/17/2022","50.20","51.00","51.45","50.20","2.05M","-1.57%"
"11/16/2022","51.00","52.00","52.15","50.90","3.86M","-1.92%"
"11/15/2022","52.00","51.05","52.20","50.90","1.18M","1.56%"
"11/14/2022","51.20","52.10","52.20","51.20","2.61M","-1.54%"
"11/11/2022","52.00","53.00","53.00","51.90","2.02M","0.19%"
"11/10/2022","51.90","52.05","52.05","51.60","499.92K","-0.67%"
"11/09/2022","52.25","52.25","52.35","51.50","899.08K","0.48%"
"11/08/2022","52.00","52.20","53.50","51.50","2.12M","-0.38%"
"11/07/2022","52.20","52.00","52.20","51.65","1.20M","0.10%"
"11/04/2022","52.15","52.00","52.15","51.10","927.06K","0.00%"
"11/03/2022","52.15","51.95","52.15","51.05","726.27K","0.00%"
"11/02/2022","52.15","51.60","52.15","51.40","1.80M","0.87%"
"10/28/2022","51.70","51.95","51.95","51.15","785.54K","-0.48%"
"10/27/2022","51.95","51.20","51.95","51.20","1.79M","1.46%"
"10/26/2022","51.20","52.05","52.15","51.20","1.13M","-1.54%"
"10/25/2022","52.00","51.30","52.00","51.20","1.72M","1.36%"
"10/24/2022","51.30","51.10","52.20","51.00","1.29M","0.39%"
"10/21/2022","51.10","51.40","51.40","50.20","1.22M","-0.39%"
"10/20/2022","51.30","51.00","51.85","50.30","3.66M","0.59%"
"10/19/2022","51.00","51.90","51.90","50.15","1.48M","-1.73%"
"10/18/2022","51.90","49.75","51.90","49.50","1.68M","4.85%"
"10/17/2022","49.50","49.75","50.55","48.75","660.37K","-1.10%"
"10/14/2022","50.05","49.70","50.90","49.50","1.40M","1.83%"
"10/13/2022","49.15","48.65","49.35","48.50","1.27M","0.92%"
"10/12/2022","48.70","48.70","49.20","48.50","712.40K","0.41%"
"10/11/2022","48.50","48.80","49.20","48.50","465.00K","0.00%"
"10/10/2022","48.50","49.85","49.85","48.50","730.78K","-3.19%"
"10/07/2022","50.10","51.00","51.00","50.10","187.58K","-1.76%"
"10/06/2022","51.00","51.00","51.60","50.50","2.19M","0.10%"
"10/05/2022","50.95","51.10","51.70","50.25","2.49M","1.09%"
"10/04/2022","50.40","49.00","50.80","48.90","1.14M","4.13%"
"10/03/2022","48.40","47.80","48.45","47.55","431.10K","-0.21%"
"09/30/2022","48.50","48.45","49.00","47.80","1.76M","-0.61%"
"09/29/2022","48.80","48.80","49.45","48.65","2.06M","0.62%"
"09/28/2022","48.50","48.60","49.50","48.25","1.08M","-0.10%"
"09/27/2022","48.55","51.00","51.35","48.55","3.22M","-6.36%"
"09/23/2022","51.85","52.00","52.10","51.60","4.90M","-0.29%"
"09/22/2022","52.00","51.05","52.00","50.20","1.21M","1.86%"
"09/21/2022","51.05","52.50","52.50","51.05","1.18M","-3.50%"
"09/20/2022","52.90","52.90","53.25","52.50","1.00M","0.00%"
"09/19/2022","52.90","53.50","53.50","51.45","2.69M","-1.31%"
"09/16/2022","53.60","52.60","53.60","52.45","2.51M","2.00%"
"09/15/2022","52.55","52.40","53.40","52.40","1.46M","0.38%"
"09/14/2022","52.35","52.50","53.10","52.00","2.91M","-3.06%"
"09/13/2022","54.00","54.00","54.00","53.50","1.79M","0.00%"
"09/12/2022","54.00","53.00","54.95","52.90","3.67M","1.89%"
"09/09/2022","53.00","52.00","53.25","52.00","1.23M","1.15%"
"09/08/2022","52.40","52.50","52.50","51.80","983.56K","1.45%"
"09/07/2022","51.65","53.35","53.40","51.65","1.31M","-3.46%"
"09/06/2022","53.50","52.30","53.85","52.15","3.48M","1.13%"
"09/05/2022","52.90","52.40","53.15","52.35","1.45M","0.95%"
"09/02/2022","52.40","51.80","52.75","51.80","1.36M","1.75%"
"09/01/2022","51.50","53.05","53.65","51.50","1.40M","-2.09%"
"08/31/2022","52.60","53.45","53.45","52.60","3.99M","-1.59%"
"08/30/2022","53.45","52.10","53.45","52.00","1.10M","0.00%"
"08/26/2022","53.45","52.80","53.80","52.80","942.84K","1.42%"
"08/25/2022","52.70","52.50","53.30","52.50","779.80K","1.35%"
"08/24/2022","52.00","51.80","52.90","51.45","813.00K","0.00%"
"08/23/2022","52.00","51.80","52.00","51.10","1.76M","-0.19%"
"08/22/2022","52.10","53.40","53.40","51.80","1.24M","-2.62%"
"08/19/2022","53.50","53.00","53.70","52.80","1.39M","0.94%"
"08/18/2022","53.00","51.80","53.85","51.60","1.91M","1.15%"
"08/17/2022","52.40","53.50","53.50","52.30","1.68M","-2.06%"
"08/16/2022","53.50","51.50","53.90","51.50","3.11M","3.88%"
"08/15/2022","51.50","51.90","52.45","51.25","1.49M","-0.77%"
"08/12/2022","51.90","50.90","54.50","50.80","5.27M","1.96%"
"08/11/2022","50.90","50.25","52.00","50.00","5.07M","1.80%"
"08/10/2022","50.00","49.00","50.20","49.00","2.35M","1.42%"
"08/09/2022","49.30","48.90","49.40","48.45","1.60M","0.82%"
"08/08/2022","48.90","47.80","48.90","47.80","742.10K","2.52%"
"08/05/2022","47.70","49.15","49.60","47.70","2.05M","-2.65%"
"08/04/2022","49.00","49.35","49.50","48.65","983.30K","0.00%"
"08/03/2022","49.00","48.90","49.45","48.10","1.55M","0.20%"
"08/02/2022","48.90","48.00","49.00","47.50","3.19M","2.30%"
"08/01/2022","47.80","48.60","48.60","47.15","1.67M","-1.65%"
"07/29/2022","48.60","48.90","48.90","47.60","1.94M","-0.61%"
"07/28/2022","48.90","47.00","48.90","47.00","2.39M","3.49%"
"07/27/2022","47.25","47.20","47.25","46.55","907.70K","0.21%"
