"Date","Price","Open","High","Low","Vol.","Change %"
"03/15/2023","315.20","306.00","316.00","306.00","219.33K","4.03%"
"03/14/2023","303.00","315.00","316.00","302.00","569.17K","-4.66%"
"03/13/2023","317.80","318.80","318.80","314.00","182.27K","-0.69%"
"03/10/2023","320.00","313.80","320.00","307.00","496.95K","1.91%"
"03/09/2023","314.00","315.00","318.20","312.60","177.52K","-0.63%"
"03/08/2023","316.00","315.80","316.00","311.20","294.24K","0.00%"
"03/07/2023","316.00","318.80","319.60","316.00","263.97K","-1.06%"
"03/06/2023","319.40","315.20","320.60","313.00","280.24K","1.40%"
"03/03/2023","315.00","314.00","315.40","312.20","436.13K","0.32%"
"03/02/2023","314.00","313.00","316.80","308.00","236.09K","0.32%"
"03/01/2023","313.00","317.00","318.00","311.00","471.38K","-1.51%"
"02/28/2023","317.80","315.00","320.00","310.20","4.22M","0.95%"
"02/27/2023","314.80","309.80","314.80","307.00","986.25K","1.81%"
"02/24/2023","309.20","309.60","310.60","305.20","447.14K","0.00%"
"02/23/2023","309.20","309.60","310.60","305.20","447.14K","0.06%"
"02/22/2023","309.00","310.00","310.00","304.20","316.38K","-0.32%"
"02/21/2023","310.00","310.00","310.00","306.20","357.31K","0.65%"
"02/20/2023","308.00","310.40","312.60","306.00","459.18K","-0.65%"
"02/17/2023","310.00","310.00","311.00","307.00","512.37K","0.32%"
"02/16/2023","309.00","308.20","311.00","308.00","266.75K","0.00%"
"02/15/2023","309.00","312.00","313.00","301.00","628.82K","-0.96%"
"02/14/2023","312.00","310.00","313.20","308.00","806.74K","1.30%"
"02/13/2023","308.00","312.00","317.80","307.20","1.02M","-2.22%"
"02/10/2023","315.00","303.00","317.80","303.00","3.00M","11.31%"
"02/09/2023","283.00","294.00","295.00","282.80","475.42K","-3.74%"
"02/08/2023","294.00","295.00","297.60","294.00","161.97K","-1.01%"
"02/07/2023","297.00","296.80","297.00","291.00","278.59K","0.07%"
"02/06/2023","296.80","298.00","298.00","291.00","310.19K","-0.74%"
"02/03/2023","299.00","293.00","299.00","290.00","482.92K","2.05%"
"02/02/2023","293.00","289.20","293.00","288.00","415.60K","1.81%"
"02/01/2023","287.80","285.80","289.40","285.00","367.85K","2.57%"
"01/31/2023","280.60","282.40","289.40","280.00","816.73K","-0.50%"
"01/30/2023","282.00","292.60","293.20","282.00","506.44K","-3.62%"
"01/27/2023","292.60","291.00","292.60","290.00","117.73K","1.11%"
"01/26/2023","289.40","289.00","292.20","288.00","169.62K","0.49%"
"01/25/2023","288.00","292.80","292.80","286.00","170.68K","-0.69%"
"01/24/2023","290.00","287.00","293.00","287.00","138.05K","0.97%"
"01/23/2023","287.20","285.00","287.40","284.00","200.08K","1.77%"
"01/20/2023","282.20","291.20","293.80","280.60","1.16M","-3.09%"
"01/19/2023","291.20","299.00","300.20","288.00","309.96K","-2.61%"
"01/18/2023","299.00","293.00","299.00","292.00","224.33K","2.75%"
"01/17/2023","291.00","300.40","302.00","287.20","716.10K","-3.00%"
"01/16/2023","300.00","300.00","308.00","300.00","484.64K","0.00%"
"01/13/2023","300.00","297.00","301.80","297.00","443.37K","0.00%"
"01/12/2023","300.00","298.00","300.60","296.00","356.82K","1.28%"
"01/11/2023","296.20","308.60","308.60","296.20","666.81K","-3.20%"
"01/10/2023","306.00","310.00","310.00","301.00","179.94K","-1.23%"
"01/09/2023","309.80","302.60","310.00","302.20","461.62K","2.92%"
"01/06/2023","301.00","300.60","302.60","300.00","79.94K","0.13%"
"01/05/2023","300.60","302.20","307.00","300.60","302.89K","-0.46%"
"01/04/2023","302.00","302.00","305.00","301.40","243.69K","0.07%"
"01/03/2023","301.80","297.00","302.80","296.00","255.83K","1.00%"
"12/29/2022","298.80","294.80","298.80","291.60","179.63K","1.36%"
"12/28/2022","294.80","290.00","294.80","287.40","121.10K","1.52%"
"12/27/2022","290.40","284.00","290.40","284.00","44.91K","2.40%"
"12/23/2022","283.60","287.00","290.00","283.60","67.72K","-1.18%"
"12/22/2022","287.00","290.60","290.60","285.00","186.77K","-0.69%"
"12/21/2022","289.00","289.40","290.00","284.00","90.57K","1.05%"
"12/20/2022","286.00","286.00","289.80","285.40","260.99K","-1.92%"
"12/19/2022","291.60","290.00","291.60","283.00","177.16K","-0.68%"
"12/16/2022","293.60","286.00","293.60","281.00","503.68K","2.37%"
"12/15/2022","286.80","286.80","289.00","286.40","192.78K","-0.07%"
"12/14/2022","287.00","280.00","287.00","278.00","377.83K","3.24%"
"12/13/2022","278.00","279.00","281.00","277.40","381.39K","-0.14%"
"12/12/2022","278.40","283.60","283.60","278.40","541.73K","-0.57%"
"12/09/2022","280.00","286.00","286.00","280.00","544.45K","-0.78%"
"12/07/2022","282.20","287.00","288.40","282.20","351.87K","-1.67%"
"12/06/2022","287.00","285.00","287.00","282.40","240.77K","2.06%"
"12/05/2022","281.20","285.00","289.80","281.20","183.72K","-1.33%"
"12/02/2022","285.00","287.60","291.00","285.00","368.32K","-0.77%"
"12/01/2022","287.20","285.20","289.00","282.20","518.40K","2.57%"
"11/29/2022","280.00","291.00","291.40","280.00","1.17M","-3.51%"
"11/28/2022","290.20","289.60","291.40","282.40","580.50K","1.97%"
"11/25/2022","284.60","292.00","294.00","283.20","563.97K","-1.79%"
"11/24/2022","289.80","296.00","299.00","287.20","378.27K","-0.75%"
"11/23/2022","292.00","294.80","295.80","287.00","444.54K","0.48%"
"11/22/2022","290.60","306.00","307.80","286.60","929.23K","-4.09%"
"11/21/2022","303.00","308.00","308.00","302.00","95.81K","-1.05%"
"11/18/2022","306.20","305.60","307.40","305.00","326.40K","0.20%"
"11/17/2022","305.60","303.80","306.40","303.00","311.25K","0.86%"
"11/16/2022","303.00","305.00","305.00","301.20","242.29K","-0.39%"
"11/15/2022","304.20","303.00","305.40","300.40","358.62K","0.40%"
"11/14/2022","303.00","304.00","304.00","301.00","118.41K","0.00%"
"11/11/2022","303.00","309.00","309.00","300.00","189.26K","1.34%"
"11/10/2022","299.00","305.00","305.00","299.00","109.77K","-1.25%"
"11/09/2022","302.80","305.00","305.40","302.00","162.45K","-0.72%"
"11/08/2022","305.00","308.80","308.80","301.80","418.94K","-1.17%"
"11/07/2022","308.60","308.80","308.80","302.20","315.95K","-0.45%"
"11/04/2022","310.00","299.60","310.00","296.00","125.76K","5.01%"
