"Date","Price","Open","High","Low","Vol.","Change %"
"03/15/2023","5.59","5.60","5.62","5.58","537.80K","0.18%"
"03/14/2023","5.58","5.58","5.60","5.50","2.30M","0.00%"
"03/13/2023","5.58","5.60","5.61","5.51","2.95M","-0.36%"
"03/10/2023","5.60","5.69","5.69","5.55","2.13M","-0.88%"
"03/09/2023","5.65","5.69","5.69","5.55","924.00K","-0.18%"
"03/08/2023","5.66","5.69","5.69","5.62","319.10K","-0.70%"
"03/07/2023","5.70","5.70","5.70","5.68","971.30K","0.35%"
"03/06/2023","5.68","5.68","5.70","5.55","1.00M","2.34%"
"03/03/2023","5.55","5.55","5.69","5.55","581.30K","0.73%"
"03/02/2023","5.51","5.55","5.65","5.51","406.60K","0.18%"
"03/01/2023","5.50","5.70","5.70","5.50","1.29M","-3.51%"
"02/28/2023","5.70","5.55","5.70","5.51","2.67M","3.45%"
"02/27/2023","5.51","5.57","5.63","5.50","1.06M","-1.08%"
"02/24/2023","5.57","5.58","5.69","5.57","476.60K","0.00%"
"02/23/2023","5.57","5.58","5.69","5.57","476.60K","0.00%"
"02/22/2023","5.57","5.63","5.64","5.55","1.12M","-1.07%"
"02/21/2023","5.63","5.73","5.73","5.60","2.06M","0.54%"
"02/20/2023","5.60","5.53","5.72","5.53","1.07M","1.45%"
"02/17/2023","5.52","5.90","5.93","5.20","5.37M","-6.44%"
"02/16/2023","5.90","5.90","5.97","5.86","405.00K","0.00%"
"02/15/2023","5.90","5.98","5.98","5.80","1.65M","-1.50%"
"02/14/2023","5.99","6.00","6.01","5.99","2.39M","-0.17%"
"02/13/2023","6.00","6.00","6.01","5.99","1.03M","0.00%"
"02/10/2023","6.00","6.01","6.01","5.99","5.18M","0.00%"
"02/09/2023","6.00","5.99","6.05","5.99","566.00K","1.01%"
"02/08/2023","5.94","6.04","6.08","5.94","3.69M","-1.66%"
"02/07/2023","6.04","6.08","6.08","6.01","1.77M","-0.17%"
"02/06/2023","6.05","6.06","6.14","6.05","1.11M","-0.17%"
"02/03/2023","6.06","6.12","6.12","6.02","692.00K","-0.33%"
"02/02/2023","6.08","6.05","6.15","6.04","1.29M","1.00%"
"02/01/2023","6.02","6.05","6.05","5.95","1.44M","1.69%"
"01/31/2023","5.92","6.07","6.08","5.88","1.18M","-1.33%"
"01/30/2023","6.00","6.07","6.10","6.00","1.10M","-0.99%"
"01/27/2023","6.06","6.10","6.15","6.06","984.20K","0.00%"
"01/26/2023","6.06","6.16","6.18","6.05","833.30K","0.00%"
"01/25/2023","6.06","6.20","6.20","6.06","631.30K","0.00%"
"01/24/2023","6.06","6.14","6.15","6.05","1.14M","-0.66%"
"01/23/2023","6.10","6.08","6.17","6.08","439.70K","0.83%"
"01/20/2023","6.05","6.10","6.12","6.03","1.20M","-0.66%"
"01/19/2023","6.09","5.96","6.10","5.94","5.89M","2.18%"
"01/18/2023","5.96","5.90","5.96","5.87","877.10K","2.58%"
"01/17/2023","5.81","5.92","5.92","5.75","5.10M","-1.19%"
"01/16/2023","5.88","5.85","5.93","5.82","2.73M","1.55%"
"01/13/2023","5.79","5.78","5.92","5.77","5.77M","0.17%"
