"Date","Price","Open","High","Low","Vol.","Change %"
"03/15/2023","93.05","93.50","94.50","93.00","415.22K","0.05%"
"03/14/2023","93.00","92.80","94.00","90.50","944.30K","-1.17%"
"03/13/2023","94.10","97.80","97.80","94.00","1.13M","-4.95%"
"03/10/2023","99.00","99.80","100.40","97.80","1.23M","-1.98%"
"03/09/2023","101.00","98.75","101.40","98.75","1.30M","2.28%"
"03/08/2023","98.75","97.00","99.25","96.45","1.09M","1.80%"
"03/07/2023","97.00","97.85","99.50","97.00","571.66K","0.00%"
"03/06/2023","97.00","97.00","97.85","96.15","145.94K","1.04%"
"03/03/2023","96.00","98.05","98.85","96.00","2.24M","-2.04%"
"03/02/2023","98.00","98.80","99.00","97.30","200.85K","-1.01%"
"03/01/2023","99.00","99.00","99.80","97.00","1.09M","-3.70%"
"02/28/2023","102.80","96.00","102.80","95.40","1.86M","7.08%"
"02/27/2023","96.00","96.20","96.95","94.70","682.81K","-0.05%"
"02/24/2023","96.05","96.15","96.90","95.80","465.66K","0.00%"
"02/23/2023","96.05","96.15","96.90","95.80","465.66K","-0.10%"
"02/22/2023","96.15","96.00","96.20","95.50","157.36K","-0.88%"
"02/21/2023","97.00","96.50","97.45","95.40","171.41K","0.62%"
"02/20/2023","96.40","96.00","97.00","96.00","311.82K","0.42%"
"02/17/2023","96.00","96.70","96.70","94.90","1.13M","-0.72%"
"02/16/2023","96.70","97.00","98.50","96.30","490.59K","-0.31%"
"02/15/2023","97.00","96.30","97.15","94.55","146.12K","0.57%"
"02/14/2023","96.45","96.20","96.95","96.05","322.17K","0.47%"
"02/13/2023","96.00","97.70","97.90","95.80","748.12K","-2.04%"
"02/10/2023","98.00","98.40","98.40","97.40","265.50K","-0.41%"
"02/09/2023","98.40","99.30","99.85","98.05","288.36K","-0.96%"
"02/08/2023","99.35","96.50","99.50","95.85","1.32M","4.09%"
"02/07/2023","95.45","96.70","96.70","94.35","510.61K","-1.29%"
"02/06/2023","96.70","97.15","97.15","96.00","739.35K","0.00%"
"02/03/2023","96.70","93.00","97.75","93.00","3.04M","3.98%"
"02/02/2023","93.00","93.50","94.20","92.85","1.72M","0.81%"
"02/01/2023","92.25","92.00","94.50","92.00","593.75K","0.27%"
"01/31/2023","92.00","91.50","93.00","91.50","578.92K","0.66%"
"01/30/2023","91.40","93.80","94.05","91.35","488.22K","-2.56%"
"01/27/2023","93.80","94.00","94.05","93.00","518.05K","0.59%"
"01/26/2023","93.25","94.00","94.85","93.05","258.35K","-0.80%"
"01/25/2023","94.00","93.75","94.00","93.75","284.78K","0.27%"
"01/24/2023","93.75","94.50","95.10","93.60","405.14K","-0.53%"
"01/23/2023","94.25","95.90","95.90","94.00","198.12K","0.27%"
"01/20/2023","94.00","96.00","96.35","93.30","167.31K","-0.84%"
"01/19/2023","94.80","93.90","96.00","93.90","184.49K","0.96%"
"01/18/2023","93.90","95.05","96.70","93.20","431.00K","-1.31%"
"01/17/2023","95.15","97.00","97.00","95.10","614.63K","-1.70%"
"01/16/2023","96.80","96.00","97.40","96.00","619.62K","1.04%"
"01/13/2023","95.80","93.70","96.30","93.55","849.96K","2.24%"
"01/12/2023","93.70","91.20","93.80","91.20","453.22K","2.85%"
"01/11/2023","91.10","92.95","93.45","90.60","242.72K","-1.88%"
"01/10/2023","92.85","93.00","93.90","92.45","190.40K","-0.48%"
"01/09/2023","93.30","91.85","94.00","91.85","754.32K","1.58%"
"01/06/2023","91.85","93.00","93.05","91.10","547.09K","-1.24%"
"01/05/2023","93.00","90.50","93.00","90.50","756.41K","3.33%"
"01/04/2023","90.00","88.70","91.00","88.50","1.11M","1.47%"
