"Date","Price","Open","High","Low","Vol.","Change %"
"03/15/2023","74.80","75.00","75.00","74.80","40.62K","0.00%"
"03/13/2023","74.80","74.80","74.80","74.80","12.33K","0.00%"
"03/10/2023","74.80","74.80","74.80","74.80","0.60K","0.00%"
"03/09/2023","74.80","74.80","74.80","74.80","1.50K","0.00%"
"03/08/2023","74.80","74.80","74.80","74.80","1.00K","0.00%"
"03/07/2023","74.80","74.80","74.80","74.80","0.95K","0.00%"
"03/06/2023","74.80","75.00","75.00","74.80","9.51K","0.00%"
"03/03/2023","74.80","74.80","74.80","74.80","6.00K","-0.13%"
"03/01/2023","74.90","74.90","74.90","74.90","1.01K","-0.13%"
"02/28/2023","75.00","75.00","75.00","75.00","27.80K","0.00%"
"02/27/2023","75.00","75.00","75.60","75.00","5.15K","-0.79%"
"02/24/2023","75.60","75.60","75.60","75.60","0.10K","0.00%"
"02/23/2023","75.60","75.60","75.60","75.60","0.10K","-0.07%"
"02/21/2023","75.65","75.65","75.65","75.65","0.21K","0.87%"
"02/20/2023","75.00","75.00","75.00","75.00","63.80K","0.00%"
"02/16/2023","75.00","75.00","75.00","75.00","54.78K","0.00%"
"02/15/2023","75.00","75.00","75.00","75.00","0.20K","0.00%"
"02/14/2023","75.00","75.00","75.00","75.00","2.02K","0.33%"
"02/13/2023","74.75","75.00","75.00","74.75","59.40K","-0.33%"
"02/10/2023","75.00","75.00","75.00","75.00","11.65K","0.00%"
"02/09/2023","75.00","75.15","75.15","75.00","29.55K","0.00%"
"02/08/2023","75.00","75.00","75.00","75.00","44.60K","0.00%"
"02/07/2023","75.00","75.00","75.00","75.00","1.00K","0.20%"
"02/03/2023","74.85","75.00","75.00","74.85","12.00K","-0.20%"
"01/30/2023","75.00","75.00","75.00","75.00","110.02K","-0.13%"
"01/27/2023","75.10","75.20","75.20","75.10","0.45K","-0.86%"
"01/25/2023","75.75","75.75","75.75","75.75","5.60K","1.00%"
"01/24/2023","75.00","75.50","75.50","75.00","136.30K","-0.66%"
"01/20/2023","75.50","75.50","75.50","75.50","24.80K","0.67%"
"01/18/2023","75.00","75.00","75.00","75.00","0.30K","-0.99%"
"01/17/2023","75.75","75.45","75.75","75.45","3.50K","0.40%"
"01/16/2023","75.45","75.45","75.95","75.45","39.28K","0.60%"
"01/13/2023","75.00","75.40","75.45","75.00","21.16K","-0.60%"
"01/12/2023","75.45","75.45","75.45","75.45","0.71K","0.60%"
"01/11/2023","75.00","75.00","75.00","75.00","13.40K","-0.60%"
"01/10/2023","75.45","75.45","75.45","75.45","0.05K","0.07%"
"01/09/2023","75.40","75.40","75.40","75.40","1.00K","-0.07%"
"01/06/2023","75.45","75.00","75.45","75.00","9.25K","0.60%"
"01/05/2023","75.00","75.00","75.00","75.00","223.26K","2.25%"
"01/04/2023","73.35","74.35","74.40","73.30","110.00K","-1.28%"
"01/03/2023","74.30","74.85","74.85","74.10","32.00K","-0.93%"
"12/29/2022","75.00","75.00","75.00","75.00","18.00K","0.00%"
"12/28/2022","75.00","75.50","75.50","75.00","53.96K","0.00%"
"12/27/2022","75.00","75.10","75.10","75.00","80.00K","-0.40%"
"12/23/2022","75.30","75.30","75.50","75.30","17.69K","0.33%"
"12/22/2022","75.05","75.00","75.50","75.00","59.65K","2.60%"
"12/21/2022","73.15","73.15","73.15","73.15","2.46K","-2.47%"
"12/16/2022","75.00","75.00","75.00","75.00","0.35K","0.00%"
"12/15/2022","75.00","75.00","75.00","75.00","12.19K","0.00%"
"12/14/2022","75.00","75.00","75.00","75.00","0.93K","0.00%"
"12/13/2022","75.00","75.00","75.00","75.00","0.21K","0.00%"
"12/09/2022","75.00","75.00","75.00","75.00","2.13K","1.01%"
"12/07/2022","74.25","74.35","74.35","74.25","48.60K","0.00%"
"12/06/2022","74.25","74.25","74.25","74.25","5.00K","-1.00%"
"12/05/2022","75.00","74.50","75.00","74.50","199.80K","0.67%"
"12/02/2022","74.50","74.25","74.50","74.25","160.62K","0.34%"
"12/01/2022","74.25","74.50","74.50","74.25","5.30K","-0.74%"
"11/29/2022","74.80","74.80","74.80","74.80","63.78K","-0.27%"
"11/28/2022","75.00","74.80","75.00","74.80","31.26K","0.27%"
"11/24/2022","74.80","75.00","75.00","74.80","27.50K","-0.27%"
"11/23/2022","75.00","75.00","75.00","75.00","0.10K","0.00%"
"11/22/2022","75.00","74.95","75.00","74.95","13.60K","0.67%"
"11/18/2022","74.50","74.50","74.50","74.50","1.00K","-0.67%"
"11/15/2022","75.00","75.00","75.00","75.00","0.08K","1.76%"
"11/14/2022","73.70","73.70","73.70","73.70","2.70K","0.00%"
"11/11/2022","73.70","73.70","73.70","73.70","0.13K","0.07%"
"11/10/2022","73.65","73.65","73.65","73.65","26.50K","-1.80%"
"11/09/2022","75.00","75.00","75.00","74.95","69.40K","1.90%"
"11/08/2022","73.60","73.60","73.60","73.60","10.00K","-1.87%"
"11/03/2022","75.00","74.50","75.00","74.50","2.46K","0.67%"
"11/02/2022","74.50","74.45","74.50","73.60","17.25K","0.07%"
"10/28/2022","74.45","74.45","74.45","74.45","0.57K","0.61%"
"10/26/2022","74.00","74.50","74.50","74.00","26.06K","-0.67%"
"10/24/2022","74.50","74.50","74.50","74.50","0.50K","0.00%"
"10/21/2022","74.50","74.50","74.50","74.50","14.53K","-0.67%"
"10/20/2022","75.00","75.00","75.00","75.00","39.30K","1.35%"
"10/18/2022","74.00","75.05","75.05","74.00","21.17K","-0.34%"
"10/17/2022","74.25","74.20","74.25","74.20","80.34K","0.00%"
"10/13/2022","74.25","74.25","74.25","74.25","0.04K","-1.66%"
"10/12/2022","75.50","75.50","75.50","75.50","13.00K","1.82%"
"10/11/2022","74.15","73.10","75.05","73.10","6.87K","0.20%"
"10/10/2022","74.00","72.00","74.00","72.00","23.50K","0.00%"
"10/07/2022","74.00","74.35","74.35","74.00","58.38K","-0.40%"
"10/06/2022","74.30","74.40","74.40","74.30","17.28K","-0.13%"
"10/05/2022","74.40","75.75","75.75","74.40","9.44K","-1.46%"
"10/04/2022","75.50","75.50","75.50","75.50","6.60K","0.27%"
"10/03/2022","75.30","75.30","75.30","75.30","23.19K","-1.38%"
"09/29/2022","76.35","76.35","76.35","76.35","0.17K","1.39%"
"09/27/2022","75.30","75.40","75.40","75.30","6.90K","-0.13%"
"09/22/2022","75.40","75.40","75.40","75.40","66.70K","0.07%"
"09/19/2022","75.35","76.50","76.50","75.35","6.81K","-1.50%"
"09/15/2022","76.50","76.50","76.50","76.50","1.54K","0.00%"
"09/14/2022","76.50","76.50","76.50","76.50","2.00K","0.66%"
"09/09/2022","76.00","76.00","76.00","76.00","1.00K","0.66%"
"09/08/2022","75.50","76.00","76.00","75.50","29.10K","-1.31%"
"09/06/2022","76.50","76.50","76.50","76.50","0.03K","0.66%"
"09/02/2022","76.00","76.90","76.95","75.50","35.59K","0.00%"
"09/01/2022","76.00","75.40","76.00","75.40","1.50K","0.86%"
"08/30/2022","75.35","76.50","76.50","75.35","0.20K","-2.02%"
"08/24/2022","76.90","76.90","76.90","76.90","1.45K","1.18%"
"08/23/2022","76.00","76.00","76.30","76.00","13.50K","0.80%"
"08/22/2022","75.40","75.70","75.70","75.35","69.97K","-0.13%"
"08/19/2022","75.50","75.50","76.00","75.40","147.03K","0.13%"
"08/18/2022","75.40","75.40","75.40","75.40","13.60K","-2.08%"
"08/17/2022","77.00","76.00","77.00","76.00","6.00K","2.19%"
"08/15/2022","75.35","76.00","76.00","75.35","41.62K","-2.14%"
"08/12/2022","77.00","76.95","77.00","76.95","9.06K","1.85%"
"08/11/2022","75.60","75.60","75.60","75.60","3.00K","0.13%"
"08/10/2022","75.50","75.55","75.55","75.50","1.25K","0.00%"
"08/09/2022","75.50","75.50","75.55","75.50","31.70K","-1.95%"
"08/05/2022","77.00","77.00","77.00","77.00","1.15K","0.00%"
"08/04/2022","77.00","77.00","77.00","77.00","16.87K","0.00%"
"08/01/2022","77.00","77.00","77.00","77.00","1.46K","0.00%"
"07/28/2022","77.00","77.00","77.00","77.00","0.08K","0.65%"
"07/27/2022","76.50","76.50","76.50","76.50","0.92K","0.00%"
"07/25/2022","76.50","76.50","76.50","76.50","0.08K","0.86%"
"07/22/2022","75.85","75.85","75.85","75.85","0.04K","0.07%"
"07/21/2022","75.80","75.80","75.80","75.80","9.61K","0.40%"
"07/19/2022","75.50","76.00","76.00","75.50","87.54K","0.00%"
"07/18/2022","75.50","75.50","75.90","75.35","65.10K","-0.13%"
"07/14/2022","75.60","76.00","76.00","75.50","96.50K","-0.85%"
"07/13/2022","76.25","76.25","76.25","76.25","1.00K","0.00%"
"07/12/2022","76.25","75.70","76.25","75.70","10.50K","0.73%"
"07/11/2022","75.70","76.50","76.50","75.70","100.06K","-1.30%"
"07/07/2022","76.70","76.20","76.70","76.20","29.00K","0.92%"
"07/06/2022","76.00","76.00","76.00","75.50","42.00K","0.00%"
"07/05/2022","76.00","76.00","76.00","76.00","0.70K","0.66%"
"07/01/2022","75.50","76.00","76.00","75.50","26.72K","-0.66%"
"06/30/2022","76.00","76.05","76.05","76.00","6.68K","-1.81%"
"06/28/2022","77.40","77.40","77.40","77.40","0.02K","0.00%"
"06/27/2022","77.40","77.40","77.40","77.40","66.70K","1.44%"
"06/24/2022","76.30","76.05","76.30","76.00","11.40K","-0.26%"
"06/23/2022","76.50","76.50","76.50","76.50","1.00K","0.00%"
"06/22/2022","76.50","76.50","76.50","76.50","68.00K","-2.49%"
"06/20/2022","78.45","78.45","78.45","78.45","0.02K","0.64%"
"06/17/2022","77.95","78.45","78.45","77.95","5.01K","1.63%"
"06/10/2022","76.70","78.10","78.10","76.70","20.53K","0.33%"
"06/09/2022","76.45","77.00","77.00","76.45","26.70K","-0.91%"
"06/08/2022","77.15","78.60","78.60","77.15","52.41K","-1.84%"
"06/06/2022","78.60","78.60","78.60","78.60","5.35K","1.95%"
"06/03/2022","77.10","77.10","77.10","77.10","1.00K","0.06%"
"06/02/2022","77.05","78.40","78.40","77.00","3.80K","-1.97%"
"05/31/2022","78.60","78.60","78.60","78.60","4.65K","0.13%"
"05/30/2022","78.50","78.60","78.60","78.50","8.03K","-0.13%"
"05/26/2022","78.60","77.00","78.60","77.00","564.00K","-0.19%"
"05/25/2022","78.75","78.75","78.75","78.75","505.00K","1.61%"
"05/23/2022","77.50","76.80","77.50","76.80","45.60K","-1.65%"
"05/18/2022","78.80","78.80","78.80","78.80","26.52K","0.00%"
"05/17/2022","78.80","78.80","78.80","78.80","6.00K","0.77%"
"05/16/2022","78.20","76.45","78.20","76.45","5.76K","0.00%"
"05/13/2022","78.20","78.20","78.20","78.20","1.00K","-0.38%"
"05/12/2022","78.50","78.50","78.50","78.50","30.02K","0.64%"
"05/11/2022","78.00","78.00","78.50","76.50","175.99K","0.00%"
"05/10/2022","78.00","78.00","78.00","78.00","0.13K","-0.26%"
"05/06/2022","78.20","78.10","78.20","78.10","1.20K","0.00%"
"05/05/2022","78.20","78.10","78.20","78.10","43.40K","0.13%"
"05/04/2022","78.10","78.05","78.10","78.05","5.20K","-1.76%"
"05/02/2022","79.50","79.40","79.50","79.40","10.00K","0.00%"
"04/29/2022","79.50","77.95","80.00","77.95","349.39K","2.58%"
"04/28/2022","77.50","77.50","77.50","77.50","266.70K","-1.27%"
"04/25/2022","78.50","77.90","78.50","77.90","296.92K","2.82%"
"04/21/2022","76.35","76.40","76.40","76.35","27.43K","0.39%"
"04/20/2022","76.05","76.35","76.35","76.05","11.80K","-2.44%"
"04/19/2022","77.95","77.95","77.95","77.95","11.00K","2.16%"
"04/18/2022","76.30","76.25","76.30","76.05","28.70K","-1.80%"
"04/13/2022","77.70","77.95","77.95","77.70","17.00K","1.90%"
"04/12/2022","76.25","76.25","76.25","76.25","12.00K","-2.24%"
"04/05/2022","78.00","78.00","78.00","78.00","8.00K","2.36%"
"04/04/2022","76.20","78.00","78.00","76.05","66.13K","-2.31%"
"04/01/2022","78.00","78.00","78.00","78.00","10.00K","2.43%"
"03/31/2022","76.15","76.15","76.15","76.15","10.00K","-2.68%"
"03/30/2022","78.25","77.50","78.25","77.50","20.00K","-0.19%"
"03/29/2022","78.40","78.40","78.40","78.40","12.02K","2.89%"
"03/28/2022","76.20","77.00","77.00","76.20","12.79K","-2.62%"
"03/25/2022","78.25","78.25","78.25","78.25","20.00K","0.00%"
"03/24/2022","78.25","78.25","78.45","78.25","20.01K","0.97%"
"03/23/2022","77.50","76.15","77.50","76.10","22.80K","-1.27%"
"03/17/2022","78.50","78.50","78.50","78.50","0.10K","0.64%"
"03/16/2022","78.00","79.00","79.00","78.00","20.00K","1.30%"
"03/15/2022","77.00","78.10","78.10","76.35","38.57K","-1.41%"
"03/14/2022","78.10","78.10","78.10","78.00","35.36K","0.00%"
"03/11/2022","78.10","78.00","78.10","78.00","24.50K","0.77%"
"03/10/2022","77.50","78.75","78.75","77.50","78.70K","1.37%"
"03/09/2022","76.45","76.45","76.45","76.45","12.00K","-1.99%"
"03/08/2022","78.00","78.90","78.90","76.40","86.35K","-0.26%"
"03/07/2022","78.20","78.00","78.20","78.00","44.64K","0.26%"
"03/04/2022","78.00","78.50","78.80","78.00","120.10K","1.96%"
"03/02/2022","76.50","76.50","76.50","76.50","10.00K","-3.10%"
"02/24/2022","78.95","79.00","79.00","78.95","13.77K","3.34%"
"02/23/2022","76.40","76.40","76.40","76.40","10.00K","-3.23%"
"02/22/2022","78.95","78.40","78.95","78.40","5.47K","-0.06%"
"02/21/2022","79.00","79.00","79.00","79.00","6.30K","2.60%"
"02/18/2022","77.00","78.40","78.40","77.00","147.00K","-2.65%"
"02/17/2022","79.10","79.10","79.10","78.40","33.46K","0.32%"
"02/16/2022","78.85","78.90","78.90","76.45","26.00K","0.00%"
"02/15/2022","78.85","78.85","78.85","78.85","12.00K","3.14%"
"02/14/2022","76.45","76.45","76.45","76.45","5.00K","-2.36%"
"02/11/2022","78.30","78.30","78.30","78.30","10.01K","0.00%"
"02/10/2022","78.30","76.00","78.30","76.00","185.50K","-1.26%"
"02/09/2022","79.30","79.30","79.30","79.30","40.00K","0.38%"
"02/07/2022","79.00","79.00","79.00","79.00","15.00K","-0.50%"
"02/04/2022","79.40","79.40","79.40","79.40","9.18K","0.00%"
"02/03/2022","79.40","79.30","79.40","79.30","37.76K","0.13%"
"01/31/2022","79.30","79.30","79.30","79.30","0.50K","-0.13%"
"01/28/2022","79.40","79.60","79.60","79.40","2.50K","0.13%"
"01/27/2022","79.30","79.40","79.40","79.30","18.64K","0.00%"
"01/26/2022","79.30","79.30","79.30","79.30","0.41K","-0.38%"
"01/25/2022","79.60","79.00","79.60","79.00","80.29K","0.76%"
"01/24/2022","79.00","79.00","79.00","79.00","2.61K","0.00%"
"01/21/2022","79.00","79.40","79.40","79.00","97.30K","-0.50%"
"01/20/2022","79.40","79.40","79.45","79.40","52.44K","-0.06%"
"01/19/2022","79.45","79.40","79.45","79.40","37.56K","0.06%"
"01/18/2022","79.40","79.40","79.40","79.40","0.50K","0.51%"
"01/11/2022","79.00","78.90","79.00","78.90","339.59K","0.25%"
"01/10/2022","78.80","78.60","78.80","78.60","46.57K","0.25%"
"01/07/2022","78.60","79.00","79.00","78.60","25.64K","-0.51%"
"01/06/2022","79.00","78.50","79.00","78.50","14.68K","1.28%"
"01/05/2022","78.00","77.25","78.00","77.10","80.40K","-2.07%"
"12/31/2021","79.65","79.00","79.65","79.00","5.36K","0.00%"
"12/29/2021","79.65","79.65","79.65","79.65","0.63K","1.59%"
"12/27/2021","78.40","78.00","78.40","78.00","16.24K","1.55%"
"12/24/2021","77.20","77.20","77.20","77.20","134.00K","-3.20%"
"12/22/2021","79.75","79.75","79.75","79.75","0.02K","0.38%"
"12/21/2021","79.45","79.25","79.45","79.25","4.98K","0.57%"
"12/20/2021","79.00","79.00","79.00","79.00","0.87K","1.28%"
"12/17/2021","78.00","77.25","78.00","77.25","12.87K","-1.64%"
"12/16/2021","79.30","76.25","79.30","76.25","47.51K","-0.25%"
"12/15/2021","79.50","79.75","79.80","79.50","35.11K","-0.38%"
"12/14/2021","79.80","79.80","79.80","79.80","0.66K","0.63%"
"12/13/2021","79.30","79.80","79.80","79.30","35.27K","0.00%"
"12/10/2021","79.30","79.30","79.30","76.70","113.48K","0.00%"
"12/09/2021","79.30","79.30","79.80","79.30","185.61K","-0.31%"
"12/06/2021","79.55","79.55","79.55","79.55","16.79K","0.19%"
"12/03/2021","79.40","76.65","79.40","76.65","47.88K","-0.06%"
"12/02/2021","79.45","79.35","79.45","79.30","48.71K","0.06%"
"12/01/2021","79.40","79.35","79.40","79.35","32.31K","0.25%"
"11/29/2021","79.20","76.65","79.20","76.65","20.00K","-0.31%"
"11/26/2021","79.45","76.75","79.45","76.75","14.91K","0.13%"
"11/25/2021","79.35","79.50","79.50","76.00","210.36K","-0.25%"
"11/24/2021","79.55","79.55","79.55","79.55","0.10K","0.00%"
"11/23/2021","79.55","79.55","79.55","79.55","1.30K","0.06%"
"11/22/2021","79.50","79.80","79.80","79.35","48.49K","0.00%"
"11/19/2021","79.50","79.50","79.50","79.30","58.70K","0.00%"
"11/18/2021","79.50","79.00","79.50","79.00","10.04K","0.00%"
"11/17/2021","79.50","79.55","79.55","79.30","65.96K","0.32%"
"11/16/2021","79.25","79.25","79.25","79.25","22.00K","-0.31%"
"11/12/2021","79.50","79.50","79.50","79.50","5.00K","0.25%"
"11/10/2021","79.30","79.20","79.35","79.20","89.10K","0.13%"
"11/09/2021","79.20","79.20","79.20","79.20","1.00K","0.00%"
"11/05/2021","79.20","79.20","79.20","79.20","1.00K","-0.38%"
"11/03/2021","79.50","79.50","79.50","79.50","1.29K","0.13%"
"11/02/2021","79.40","79.50","79.50","79.40","1.31K","-0.13%"
"10/29/2021","79.50","79.50","79.50","79.50","0.64K","0.38%"
"10/28/2021","79.20","79.50","79.50","79.20","1.56K","0.25%"
"10/27/2021","79.00","79.50","79.50","79.00","26.74K","-0.13%"
"10/26/2021","79.10","79.25","79.25","79.10","18.00K","-0.06%"
"10/25/2021","79.15","79.15","79.15","79.15","0.02K","-0.44%"
"10/22/2021","79.50","79.50","79.50","79.50","12.00K","0.38%"
"10/21/2021","79.20","79.20","79.20","79.20","15.00K","0.00%"
"10/20/2021","79.20","79.20","79.20","79.20","22.60K","-0.38%"
"10/19/2021","79.50","79.50","79.50","79.50","0.11K","0.00%"
"10/18/2021","79.50","79.40","79.50","79.40","15.00K","0.19%"
"10/15/2021","79.35","79.30","79.35","79.30","151.63K","0.06%"
"10/14/2021","79.30","79.30","79.30","79.30","0.62K","0.25%"
"10/13/2021","79.10","79.35","79.35","79.10","4.38K","-0.32%"
"10/12/2021","79.35","79.05","79.35","79.05","23.92K","0.38%"
"10/11/2021","79.05","79.05","79.05","79.05","1.20K","-0.32%"
"10/07/2021","79.30","79.10","79.30","79.10","2.47K","0.38%"
"10/05/2021","79.00","79.25","79.25","79.00","6.65K","-0.25%"
"10/04/2021","79.20","79.00","79.20","79.00","21.60K","0.00%"
"10/01/2021","79.20","79.20","79.20","79.20","30.00K","0.00%"
"09/30/2021","79.20","79.20","79.20","79.20","42.57K","0.32%"
"09/29/2021","78.95","78.95","78.95","78.95","8.00K","0.19%"
"09/28/2021","78.80","78.80","78.80","78.80","8.50K","0.38%"
"09/27/2021","78.50","78.25","78.50","78.25","6.00K","0.64%"
"09/24/2021","78.00","78.00","78.00","78.00","5.00K","0.91%"
"09/23/2021","77.30","77.50","77.50","77.20","98.13K","0.00%"
"09/22/2021","77.30","78.50","78.60","77.00","263.40K","1.71%"
"09/21/2021","76.00","78.25","78.25","76.00","26.70K","-3.80%"
"09/20/2021","79.00","78.00","79.00","78.00","0.02K","1.09%"
"09/14/2021","78.15","78.15","78.15","78.15","2.55K","0.00%"
"09/13/2021","78.15","79.00","79.00","78.15","12.00K","-0.06%"
