"Date","Price","Open","High","Low","Vol.","Change %"
"03/15/2023","1,310.00","1,290.00","1,318.00","1,290.00","120.22K","2.50%"
"03/14/2023","1,278.00","1,285.00","1,307.00","1,278.00","87.50K","0.00%"
"03/13/2023","1,278.00","1,316.00","1,335.00","1,278.00","90.22K","-2.89%"
"03/10/2023","1,316.00","1,285.00","1,316.00","1,272.00","90.40K","2.81%"
"03/09/2023","1,280.00","1,329.00","1,329.00","1,280.00","122.35K","-3.40%"
"03/08/2023","1,325.00","1,313.00","1,325.00","1,295.00","70.71K","0.91%"
"03/07/2023","1,313.00","1,330.00","1,348.00","1,310.00","50.13K","-0.53%"
"03/06/2023","1,320.00","1,335.00","1,354.00","1,320.00","79.92K","0.23%"
"03/03/2023","1,317.00","1,340.00","1,350.00","1,317.00","70.62K","-0.60%"
"03/02/2023","1,325.00","1,320.00","1,340.00","1,312.00","76.52K","0.53%"
"03/01/2023","1,318.00","1,300.00","1,328.00","1,295.00","159.40K","2.57%"
"02/28/2023","1,285.00","1,280.00","1,339.00","1,269.00","315.37K","0.31%"
"02/27/2023","1,281.00","1,340.00","1,340.00","1,240.00","407.33K","-4.47%"
"02/24/2023","1,341.00","1,335.00","1,344.00","1,320.00","46.35K","0.00%"
"02/23/2023","1,341.00","1,335.00","1,344.00","1,320.00","46.35K","0.45%"
"02/22/2023","1,335.00","1,373.00","1,373.00","1,326.00","165.19K","-3.75%"
"02/21/2023","1,387.00","1,389.00","1,389.00","1,364.00","37.25K","0.95%"
"02/20/2023","1,374.00","1,360.00","1,389.00","1,360.00","38.42K","1.40%"
"02/17/2023","1,355.00","1,350.00","1,355.00","1,330.00","47.58K","1.88%"
"02/16/2023","1,330.00","1,312.00","1,358.00","1,310.00","89.44K","1.53%"
"02/15/2023","1,310.00","1,331.00","1,331.00","1,305.00","173.40K","-1.21%"
"02/14/2023","1,326.00","1,326.00","1,360.00","1,314.00","131.06K","0.00%"
"02/13/2023","1,326.00","1,355.00","1,364.00","1,326.00","189.78K","-3.91%"
"02/10/2023","1,380.00","1,378.00","1,380.00","1,365.00","56.57K","0.00%"
"02/09/2023","1,380.00","1,388.00","1,410.00","1,380.00","86.07K","-1.08%"
"02/08/2023","1,395.00","1,412.00","1,427.00","1,391.00","91.78K","-1.06%"
"02/07/2023","1,410.00","1,445.00","1,445.00","1,410.00","77.26K","-2.96%"
"02/06/2023","1,453.00","1,472.00","1,472.00","1,405.00","85.49K","-1.29%"
"02/03/2023","1,472.00","1,454.00","1,472.00","1,420.00","270.82K","1.03%"
"02/02/2023","1,457.00","1,428.00","1,457.00","1,404.00","192.40K","2.03%"
